country,year,week,year_week,age_group,new_cases
Austria,2021,01,2021-01,15-24yr,1923
Austria,2021,02,2021-02,15-24yr,1474
Austria,2021,03,2021-03,15-24yr,1388
Austria,2021,04,2021-04,15-24yr,1185
Austria,2021,05,2021-05,15-24yr,1174
Austria,2021,06,2021-06,15-24yr,1329
Austria,2021,07,2021-07,15-24yr,1612
Austria,2021,08,2021-08,15-24yr,2002
Austria,2021,09,2021-09,15-24yr,2388
Austria,2021,10,2021-10,15-24yr,2808
Austria,2021,11,2021-11,15-24yr,3216
Austria,2021,12,2021-12,15-24yr,3413
Austria,2021,13,2021-13,15-24yr,3164
Austria,2021,14,2021-14,15-24yr,2718
Austria,2021,15,2021-15,15-24yr,2617
Austria,2021,16,2021-16,15-24yr,2307
Austria,2021,17,2021-17,15-24yr,1960
Austria,2021,18,2021-18,15-24yr,1388
Austria,2021,19,2021-19,15-24yr,907
Austria,2021,20,2021-20,15-24yr,728
Austria,2021,21,2021-21,15-24yr,619
Austria,2021,22,2021-22,15-24yr,563
Austria,2021,23,2021-23,15-24yr,389
Austria,2021,24,2021-24,15-24yr,239
Austria,2021,25,2021-25,15-24yr,167
Austria,2021,26,2021-26,15-24yr,201
Austria,2021,27,2021-27,15-24yr,451
Austria,2021,28,2021-28,15-24yr,954
Austria,2021,29,2021-29,15-24yr,946
Austria,2021,30,2021-30,15-24yr,1239
Austria,2021,31,2021-31,15-24yr,1182
Austria,2021,32,2021-32,15-24yr,1686
Austria,2021,33,2021-33,15-24yr,2095
Austria,2021,34,2021-34,15-24yr,2113
Austria,2021,35,2021-35,15-24yr,2327
Austria,2021,36,2021-36,15-24yr,2841
Austria,2021,37,2021-37,15-24yr,2332
Austria,2021,38,2021-38,15-24yr,1882
Austria,2021,39,2021-39,15-24yr,2016
Austria,2021,40,2021-40,15-24yr,2119
Austria,2021,41,2021-41,15-24yr,2473
Austria,2021,42,2021-42,15-24yr,3371
Austria,2021,43,2021-43,15-24yr,5040
Austria,2021,44,2021-44,15-24yr,9292
Austria,2021,45,2021-45,15-24yr,11769
Austria,2021,46,2021-46,15-24yr,12282
Austria,2021,47,2021-47,15-24yr,9215
Austria,2021,48,2021-48,15-24yr,5739
Austria,2021,49,2021-49,15-24yr,3533
Austria,2021,50,2021-50,15-24yr,2396
Austria,2021,51,2021-51,15-24yr,2193
Austria,2021,52,2021-52,15-24yr,4413
Belgium,2021,01,2021-01,15-24yr,1688
