country,year,week,year_week,age_group,new_cases
Austria,2021,01,2021-01,<15yr,746
Austria,2021,02,2021-02,<15yr,518
Austria,2021,03,2021-03,<15yr,674
Austria,2021,04,2021-04,<15yr,749
Austria,2021,05,2021-05,<15yr,784
Austria,2021,06,2021-06,<15yr,968
Austria,2021,07,2021-07,<15yr,1559
Austria,2021,08,2021-08,<15yr,2090
Austria,2021,09,2021-09,<15yr,2476
Austria,2021,10,2021-10,<15yr,2711
Austria,2021,11,2021-11,<15yr,2993
Austria,2021,12,2021-12,<15yr,3127
Austria,2021,13,2021-13,<15yr,2440
Austria,2021,14,2021-14,<15yr,2052
Austria,2021,15,2021-15,<15yr,2560
Austria,2021,16,2021-16,<15yr,2359
Austria,2021,17,2021-17,<15yr,2173
Austria,2021,18,2021-18,<15yr,1601
Austria,2021,19,2021-19,<15yr,1018
Austria,2021,20,2021-20,<15yr,765
Austria,2021,21,2021-21,<15yr,550
Austria,2021,22,2021-22,<15yr,394
Austria,2021,23,2021-23,<15yr,281
Austria,2021,24,2021-24,<15yr,171
Austria,2021,25,2021-25,<15yr,146
Austria,2021,26,2021-26,<15yr,93
Austria,2021,27,2021-27,<15yr,106
Austria,2021,28,2021-28,<15yr,151
Austria,2021,29,2021-29,<15yr,226
Austria,2021,30,2021-30,<15yr,263
Austria,2021,31,2021-31,<15yr,384
Austria,2021,32,2021-32,<15yr,806
Austria,2021,33,2021-33,<15yr,1192
Austria,2021,34,2021-34,<15yr,1575
Austria,2021,35,2021-35,<15yr,2042
Austria,2021,36,2021-36,<15yr,2830
Austria,2021,37,2021-37,<15yr,3339
Austria,2021,38,2021-38,<15yr,2791
Austria,2021,39,2021-39,<15yr,2980
Austria,2021,40,2021-40,<15yr,2682
Austria,2021,41,2021-41,<15yr,2977
Austria,2021,42,2021-42,<15yr,4762
Austria,2021,43,2021-43,<15yr,5461
Austria,2021,44,2021-44,<15yr,8362
Austria,2021,45,2021-45,<15yr,13545
Austria,2021,46,2021-46,<15yr,20919
Austria,2021,47,2021-47,<15yr,19003
Austria,2021,48,2021-48,<15yr,11363
Austria,2021,49,2021-49,<15yr,6219
Austria,2021,50,2021-50,<15yr,3766
Austria,2021,51,2021-51,<15yr,2580
Austria,2021,52,2021-52,<15yr,2887
Belgium,2021,01,2021-01,<15yr,554
Belgium,2021,02,2021-02,<15yr,609
Belgium,2021,03,2021-03,<15yr,997
Belgium,2021,04,2021-04,<15yr,1387
Belgium,2021,05,2021-05,<15yr,1213
Belgium,2021,06,2021-06,<15yr,925
Belgium,2021,07,2021-07,<15yr,987
Belgium,2021,08,2021-08,<15yr,1076
Belgium,2021,09,2021-09,<15yr,1195
Belgium,2021,10,2021-10,<15yr,1912
Belgium,2021,11,2021-11,<15yr,2900
Belgium,2021,12,2021-12,<15yr,3158
Belgium,2021,13,2021-13,<15yr,2042
Belgium,2021,14,2021-14,<15yr,1331
Belgium,2021,15,2021-15,<15yr,1459
Belgium,2021,16,2021-16,<15yr,1632
Belgium,2021,17,2021-17,<15yr,1795
Belgium,2021,18,2021-18,<15yr,2063
Belgium,2021,19,2021-19,<15yr,1249
Belgium,2021,20,2021-20,<15yr,1532
Belgium,2021,21,2021-21,<15yr,1124
Belgium,2021,22,2021-22,<15yr,837
Belgium,2021,23,2021-23,<15yr,481
Belgium,2021,24,2021-24,<15yr,189
Belgium,2021,25,2021-25,<15yr,146
Belgium,2021,26,2021-26,<15yr,281
Belgium,2021,27,2021-27,<15yr,423
Belgium,2021,28,2021-28,<15yr,598
Belgium,2021,29,2021-29,<15yr,788
Belgium,2021,30,2021-30,<15yr,1001
Belgium,2021,31,2021-31,<15yr,1107
Belgium,2021,32,2021-32,<15yr,1307
Belgium,2021,33,2021-33,<15yr,1415
Belgium,2021,34,2021-34,<15yr,1458
Belgium,2021,35,2021-35,<15yr,1471
Belgium,2021,36,2021-36,<15yr,1730
Belgium,2021,37,2021-37,<15yr,2024
Belgium,2021,38,2021-38,<15yr,1844
Belgium,2021,39,2021-39,<15yr,1659
Belgium,2021,40,2021-40,<15yr,1677
Belgium,2021,41,2021-41,<15yr,3074
Belgium,2021,42,2021-42,<15yr,5349
Belgium,2021,43,2021-43,<15yr,6834
Belgium,2021,44,2021-44,<15yr,5523
Belgium,2021,45,2021-45,<15yr,6144
Belgium,2021,46,2021-46,<15yr,10087
Belgium,2021,47,2021-47,<15yr,13987
Belgium,2021,48,2021-48,<15yr,14574
Belgium,2021,49,2021-49,<15yr,11552
Belgium,2021,50,2021-50,<15yr,6185
Belgium,2021,51,2021-51,<15yr,3517
Belgium,2021,52,2021-52,<15yr,4473
Cyprus,2021,01,2021-01,<15yr,279
Cyprus,2021,02,2021-02,<15yr,141
Cyprus,2021,03,2021-03,<15yr,98
Cyprus,2021,04,2021-04,<15yr,81
Cyprus,2021,05,2021-05,<15yr,90
Cyprus,2021,06,2021-06,<15yr,63
Cyprus,2021,07,2021-07,<15yr,118
Cyprus,2021,08,2021-08,<15yr,249
Cyprus,2021,09,2021-09,<15yr,229
Cyprus,2021,10,2021-10,<15yr,376
Cyprus,2021,11,2021-11,<15yr,347
Cyprus,2021,12,2021-12,<15yr,288
Cyprus,2021,13,2021-13,<15yr,406
Cyprus,2021,14,2021-14,<15yr,461
Cyprus,2021,15,2021-15,<15yr,694
Cyprus,2021,16,2021-16,<15yr,805
Cyprus,2021,17,2021-17,<15yr,499
Cyprus,2021,18,2021-18,<15yr,413
Cyprus,2021,19,2021-19,<15yr,186
Cyprus,2021,20,2021-20,<15yr,104
Cyprus,2021,21,2021-21,<15yr,100
Cyprus,2021,22,2021-22,<15yr,56
Cyprus,2021,23,2021-23,<15yr,90
Cyprus,2021,24,2021-24,<15yr,62
Cyprus,2021,25,2021-25,<15yr,107
Cyprus,2021,26,2021-26,<15yr,305
Cyprus,2021,27,2021-27,<15yr,762
Cyprus,2021,28,2021-28,<15yr,1129
Cyprus,2021,29,2021-29,<15yr,1072
Cyprus,2021,30,2021-30,<15yr,761
Cyprus,2021,31,2021-31,<15yr,443
Cyprus,2021,32,2021-32,<15yr,370
Cyprus,2021,33,2021-33,<15yr,314
Cyprus,2021,34,2021-34,<15yr,275
Cyprus,2021,35,2021-35,<15yr,235
Cyprus,2021,36,2021-36,<15yr,193
Cyprus,2021,37,2021-37,<15yr,173
Cyprus,2021,38,2021-38,<15yr,144
Cyprus,2021,39,2021-39,<15yr,107
Cyprus,2021,40,2021-40,<15yr,103
Cyprus,2021,41,2021-41,<15yr,129
Cyprus,2021,42,2021-42,<15yr,179
Cyprus,2021,43,2021-43,<15yr,194
Cyprus,2021,44,2021-44,<15yr,271
Cyprus,2021,45,2021-45,<15yr,415
Cyprus,2021,46,2021-46,<15yr,614
Cyprus,2021,47,2021-47,<15yr,671
Cyprus,2021,48,2021-48,<15yr,849
Cyprus,2021,49,2021-49,<15yr,920
Cyprus,2021,50,2021-50,<15yr,882
Cyprus,2021,51,2021-51,<15yr,998
Cyprus,2021,52,2021-52,<15yr,2103
Czechia,2021,01,2021-01,<15yr,7526
Czechia,2021,02,2021-02,<15yr,6289
Czechia,2021,03,2021-03,<15yr,5827
Czechia,2021,04,2021-04,<15yr,5701
Czechia,2021,05,2021-05,<15yr,6278
Czechia,2021,06,2021-06,<15yr,6918
Czechia,2021,07,2021-07,<15yr,9091
Czechia,2021,08,2021-08,<15yr,11256
Czechia,2021,09,2021-09,<15yr,10621
Czechia,2021,10,2021-10,<15yr,8945
Czechia,2021,11,2021-11,<15yr,7479
Czechia,2021,12,2021-12,<15yr,5904
Czechia,2021,13,2021-13,<15yr,4338
Czechia,2021,14,2021-14,<15yr,3194
Czechia,2021,15,2021-15,<15yr,3148
Czechia,2021,16,2021-16,<15yr,2616
Czechia,2021,17,2021-17,<15yr,2181
Czechia,2021,18,2021-18,<15yr,1777
Czechia,2021,19,2021-19,<15yr,1289
Czechia,2021,20,2021-20,<15yr,951
Czechia,2021,21,2021-21,<15yr,653
Czechia,2021,22,2021-22,<15yr,471
Czechia,2021,23,2021-23,<15yr,249
Czechia,2021,24,2021-24,<15yr,148
Czechia,2021,25,2021-25,<15yr,102
Czechia,2021,26,2021-26,<15yr,142
Czechia,2021,27,2021-27,<15yr,152
Czechia,2021,28,2021-28,<15yr,230
Czechia,2021,29,2021-29,<15yr,198
Czechia,2021,30,2021-30,<15yr,243
Czechia,2021,31,2021-31,<15yr,206
Czechia,2021,32,2021-32,<15yr,287
Czechia,2021,33,2021-33,<15yr,252
Czechia,2021,34,2021-34,<15yr,243
Czechia,2021,35,2021-35,<15yr,391
Czechia,2021,36,2021-36,<15yr,710
Czechia,2021,37,2021-37,<15yr,863
Czechia,2021,38,2021-38,<15yr,807
Czechia,2021,39,2021-39,<15yr,1097
Czechia,2021,40,2021-40,<15yr,1440
Czechia,2021,41,2021-41,<15yr,2568
Czechia,2021,42,2021-42,<15yr,6079
Czechia,2021,43,2021-43,<15yr,8934
Czechia,2021,44,2021-44,<15yr,11127
Czechia,2021,45,2021-45,<15yr,20358
Czechia,2021,46,2021-46,<15yr,30668
Czechia,2021,47,2021-47,<15yr,34869
Czechia,2021,48,2021-48,<15yr,30639
Czechia,2021,49,2021-49,<15yr,24605
Czechia,2021,50,2021-50,<15yr,18648
Czechia,2021,51,2021-51,<15yr,9934
Czechia,2021,52,2021-52,<15yr,5854
Denmark,2021,01,2021-01,<15yr,1343
Denmark,2021,02,2021-02,<15yr,860
Denmark,2021,03,2021-03,<15yr,660
Denmark,2021,04,2021-04,<15yr,454
Denmark,2021,05,2021-05,<15yr,425
Denmark,2021,06,2021-06,<15yr,441
Denmark,2021,07,2021-07,<15yr,659
Denmark,2021,08,2021-08,<15yr,708
Denmark,2021,09,2021-09,<15yr,769
Denmark,2021,10,2021-10,<15yr,832
Denmark,2021,11,2021-11,<15yr,990
Denmark,2021,12,2021-12,<15yr,939
Denmark,2021,13,2021-13,<15yr,756
Denmark,2021,14,2021-14,<15yr,381
Denmark,2021,15,2021-15,<15yr,937
Denmark,2021,16,2021-16,<15yr,976
Denmark,2021,17,2021-17,<15yr,516
Denmark,2021,18,2021-18,<15yr,940
Denmark,2021,19,2021-19,<15yr,1154
Denmark,2021,20,2021-20,<15yr,910
Denmark,2021,21,2021-21,<15yr,891
