country,year,week,year_week,age_group,new_cases
Austria,2021,01,2021-01,80+yr,1413
Austria,2021,02,2021-02,80+yr,1113
Austria,2021,03,2021-03,80+yr,922
Austria,2021,04,2021-04,80+yr,784
Austria,2021,05,2021-05,80+yr,613
Austria,2021,06,2021-06,80+yr,492
Austria,2021,07,2021-07,80+yr,539
Austria,2021,08,2021-08,80+yr,509
Austria,2021,09,2021-09,80+yr,538
Austria,2021,10,2021-10,80+yr,569
Austria,2021,11,2021-11,80+yr,645
Austria,2021,12,2021-12,80+yr,648
Austria,2021,13,2021-13,80+yr,594
Austria,2021,14,2021-14,80+yr,528
Austria,2021,15,2021-15,80+yr,417
Austria,2021,16,2021-16,80+yr,313
Austria,2021,17,2021-17,80+yr,235
Austria,2021,18,2021-18,80+yr,209
Austria,2021,19,2021-19,80+yr,121
Austria,2021,20,2021-20,80+yr,85
Austria,2021,21,2021-21,80+yr,78
Austria,2021,22,2021-22,80+yr,47
Austria,2021,23,2021-23,80+yr,37
Austria,2021,24,2021-24,80+yr,23
Austria,2021,25,2021-25,80+yr,21
Austria,2021,26,2021-26,80+yr,9
Austria,2021,27,2021-27,80+yr,14
Austria,2021,28,2021-28,80+yr,17
Austria,2021,29,2021-29,80+yr,29
Austria,2021,30,2021-30,80+yr,30
Austria,2021,31,2021-31,80+yr,53
Austria,2021,32,2021-32,80+yr,67
Austria,2021,33,2021-33,80+yr,81
Austria,2021,34,2021-34,80+yr,98
Austria,2021,35,2021-35,80+yr,261
Austria,2021,36,2021-36,80+yr,314
Austria,2021,37,2021-37,80+yr,328
Austria,2021,38,2021-38,80+yr,309
Austria,2021,39,2021-39,80+yr,316
Austria,2021,40,2021-40,80+yr,362
Austria,2021,41,2021-41,80+yr,514
Austria,2021,42,2021-42,80+yr,797
Austria,2021,43,2021-43,80+yr,1170
Austria,2021,44,2021-44,80+yr,1615
Austria,2021,45,2021-45,80+yr,1831
Austria,2021,46,2021-46,80+yr,2165
Austria,2021,47,2021-47,80+yr,1764
Austria,2021,48,2021-48,80+yr,1165
Austria,2021,49,2021-49,80+yr,630
Austria,2021,50,2021-50,80+yr,414
Austria,2021,51,2021-51,80+yr,257
Austria,2021,52,2021-52,80+yr,328
Belgium,2021,01,2021-01,80+yr,1524
Belgium,2021,02,2021-02,80+yr,1188
Belgium,2021,03,2021-03,80+yr,1283
Belgium,2021,04,2021-04,80+yr,1337
Belgium,2021,05,2021-05,80+yr,1041
Belgium,2021,06,2021-06,80+yr,785
Belgium,2021,07,2021-07,80+yr,828
Belgium,2021,08,2021-08,80+yr,766
Belgium,2021,09,2021-09,80+yr,713
Belgium,2021,10,2021-10,80+yr,718
Belgium,2021,11,2021-11,80+yr,860
Belgium,2021,12,2021-12,80+yr,934
Belgium,2021,13,2021-13,80+yr,1000
Belgium,2021,14,2021-14,80+yr,802
Belgium,2021,15,2021-15,80+yr,792
Belgium,2021,16,2021-16,80+yr,832
Belgium,2021,17,2021-17,80+yr,598
Belgium,2021,18,2021-18,80+yr,498
Belgium,2021,19,2021-19,80+yr,355
Belgium,2021,20,2021-20,80+yr,380
Belgium,2021,21,2021-21,80+yr,265
Belgium,2021,22,2021-22,80+yr,216
Belgium,2021,23,2021-23,80+yr,131
Belgium,2021,24,2021-24,80+yr,93
Belgium,2021,25,2021-25,80+yr,60
Belgium,2021,26,2021-26,80+yr,58
Belgium,2021,27,2021-27,80+yr,71
Belgium,2021,28,2021-28,80+yr,95
Belgium,2021,29,2021-29,80+yr,162
Belgium,2021,30,2021-30,80+yr,140
Belgium,2021,31,2021-31,80+yr,203
Belgium,2021,32,2021-32,80+yr,218
Belgium,2021,33,2021-33,80+yr,263
Belgium,2021,34,2021-34,80+yr,266
Belgium,2021,35,2021-35,80+yr,295
Belgium,2021,36,2021-36,80+yr,315
Belgium,2021,37,2021-37,80+yr,341
Belgium,2021,38,2021-38,80+yr,392
Belgium,2021,39,2021-39,80+yr,392
Belgium,2021,40,2021-40,80+yr,459
Belgium,2021,41,2021-41,80+yr,755
Belgium,2021,42,2021-42,80+yr,1548
Belgium,2021,43,2021-43,80+yr,1805
Belgium,2021,44,2021-44,80+yr,1647
Belgium,2021,45,2021-45,80+yr,1895
Belgium,2021,46,2021-46,80+yr,2753
Belgium,2021,47,2021-47,80+yr,2563
Belgium,2021,48,2021-48,80+yr,1916
Belgium,2021,49,2021-49,80+yr,1350
Belgium,2021,50,2021-50,80+yr,866
