dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,3703,11,Austria
30/12/2021,2021,12,30,3815,24,Austria
29/12/2021,2021,12,29,3182,14,Austria
28/12/2021,2021,12,28,3343,16,Austria
27/12/2021,2021,12,27,2605,18,Austria
26/12/2021,2021,12,26,1735,15,Austria
25/12/2021,2021,12,25,1633,15,Austria
24/12/2021,2021,12,24,2117,9,Austria
23/12/2021,2021,12,23,2268,17,Austria
22/12/2021,2021,12,22,2162,15,Austria
21/12/2021,2021,12,21,2817,21,Austria
20/12/2021,2021,12,20,1950,18,Austria
19/12/2021,2021,12,19,1886,28,Austria
18/12/2021,2021,12,18,1989,23,Austria
17/12/2021,2021,12,17,2349,25,Austria
16/12/2021,2021,12,16,2699,26,Austria
15/12/2021,2021,12,15,2934,29,Austria
14/12/2021,2021,12,14,4131,41,Austria
13/12/2021,2021,12,13,2935,40,Austria
12/12/2021,2021,12,12,3263,34,Austria
11/12/2021,2021,12,11,3269,32,Austria
10/12/2021,2021,12,10,4826,44,Austria
09/12/2021,2021,12,09,3124,44,Austria
08/12/2021,2021,12,08,4316,51,Austria
07/12/2021,2021,12,07,6086,54,Austria
06/12/2021,2021,12,06,4430,45,Austria
05/12/2021,2021,12,05,4270,42,Austria
04/12/2021,2021,12,04,5315,51,Austria
03/12/2021,2021,12,03,6266,59,Austria
02/12/2021,2021,12,02,7261,59,Austria
01/12/2021,2021,12,01,8774,62,Austria
30/11/2021,2021,11,30,10966,39,Austria
29/11/2021,2021,11,29,8109,66,Austria
28/11/2021,2021,11,28,7989,56,Austria
27/11/2021,2021,11,27,9622,47,Austria
26/11/2021,2021,11,26,12053,65,Austria
25/11/2021,2021,11,25,12127,60,Austria
24/11/2021,2021,11,24,14462,48,Austria
23/11/2021,2021,11,23,14518,53,Austria
22/11/2021,2021,11,22,11978,55,Austria
21/11/2021,2021,11,21,11638,54,Austria
20/11/2021,2021,11,20,14104,39,Austria
19/11/2021,2021,11,19,14076,50,Austria
18/11/2021,2021,11,18,14890,44,Austria
17/11/2021,2021,11,17,15027,46,Austria
16/11/2021,2021,11,16,16473,38,Austria
15/11/2021,2021,11,15,10982,37,Austria
14/11/2021,2021,11,14,11204,41,Austria
13/11/2021,2021,11,13,11440,48,Austria
12/11/2021,2021,11,12,12661,45,Austria
11/11/2021,2021,11,11,10591,51,Austria
10/11/2021,2021,11,10,13224,25,Austria
09/11/2021,2021,11,09,11977,29,Austria
08/11/2021,2021,11,08,7761,27,Austria
07/11/2021,2021,11,07,8023,19,Austria
06/11/2021,2021,11,06,8125,21,Austria
05/11/2021,2021,11,05,9709,27,Austria
04/11/2021,2021,11,04,9785,21,Austria
03/11/2021,2021,11,03,8969,25,Austria
02/11/2021,2021,11,02,6583,17,Austria
01/11/2021,2021,11,01,5287,20,Austria
31/10/2021,2021,10,31,4797,13,Austria
30/10/2021,2021,10,30,5635,16,Austria
29/10/2021,2021,10,29,5981,10,Austria
28/10/2021,2021,10,28,5939,11,Austria
27/10/2021,2021,10,27,4312,15,Austria
26/10/2021,2021,10,26,4488,17,Austria
