dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,12291,16,Belgium
30/12/2021,2021,12,30,16061,29,Belgium
29/12/2021,2021,12,29,15046,34,Belgium
28/12/2021,2021,12,28,12819,21,Belgium
27/12/2021,2021,12,27,13298,28,Belgium
26/12/2021,2021,12,26,4566,22,Belgium
25/12/2021,2021,12,25,2818,20,Belgium
24/12/2021,2021,12,24,6519,35,Belgium
23/12/2021,2021,12,23,7524,36,Belgium
22/12/2021,2021,12,22,7389,37,Belgium
21/12/2021,2021,12,21,7373,36,Belgium
20/12/2021,2021,12,20,9114,36,Belgium
19/12/2021,2021,12,19,2850,38,Belgium
18/12/2021,2021,12,18,4753,36,Belgium
17/12/2021,2021,12,17,7746,26,Belgium
16/12/2021,2021,12,16,8110,37,Belgium
15/12/2021,2021,12,15,9283,41,Belgium
14/12/2021,2021,12,14,10582,37,Belgium
13/12/2021,2021,12,13,13885,43,Belgium
12/12/2021,2021,12,12,3908,44,Belgium
11/12/2021,2021,12,11,7112,45,Belgium
10/12/2021,2021,12,10,13103,48,Belgium
09/12/2021,2021,12,09,13437,35,Belgium
08/12/2021,2021,12,08,15081,55,Belgium
07/12/2021,2021,12,07,15682,49,Belgium
06/12/2021,2021,12,06,20738,39,Belgium
05/12/2021,2021,12,05,5977,57,Belgium
04/12/2021,2021,12,04,9637,45,Belgium
03/12/2021,2021,12,03,17770,48,Belgium
02/12/2021,2021,12,02,18330,53,Belgium
01/12/2021,2021,12,01,19669,43,Belgium
30/11/2021,2021,11,30,20870,61,Belgium
29/11/2021,2021,11,29,25207,45,Belgium
28/11/2021,2021,11,28,7072,47,Belgium
27/11/2021,2021,11,27,11590,48,Belgium
26/11/2021,2021,11,26,20044,40,Belgium
25/11/2021,2021,11,25,20231,44,Belgium
24/11/2021,2021,11,24,20174,49,Belgium
23/11/2021,2021,11,23,21139,38,Belgium
22/11/2021,2021,11,22,25624,35,Belgium
21/11/2021,2021,11,21,6754,36,Belgium
20/11/2021,2021,11,20,11215,36,Belgium
19/11/2021,2021,11,19,19151,33,Belgium
18/11/2021,2021,11,18,18572,43,Belgium
17/11/2021,2021,11,17,18148,42,Belgium
16/11/2021,2021,11,16,18431,29,Belgium
15/11/2021,2021,11,15,20837,46,Belgium
14/11/2021,2021,11,14,5506,27,Belgium
13/11/2021,2021,11,13,8365,20,Belgium
12/11/2021,2021,11,12,13752,39,Belgium
11/11/2021,2021,11,11,5055,32,Belgium
10/11/2021,2021,11,10,12750,26,Belgium
09/11/2021,2021,11,09,13017,27,Belgium
08/11/2021,2021,11,08,15267,28,Belgium
07/11/2021,2021,11,07,4073,15,Belgium
06/11/2021,2021,11,06,6454,30,Belgium
05/11/2021,2021,11,05,11139,25,Belgium
04/11/2021,2021,11,04,10181,26,Belgium
03/11/2021,2021,11,03,10706,17,Belgium
02/11/2021,2021,11,02,11714,20,Belgium
01/11/2021,2021,11,01,3582,25,Belgium
31/10/2021,2021,10,31,3058,18,Belgium
30/10/2021,2021,10,30,4971,16,Belgium
29/10/2021,2021,10,29,9289,21,Belgium
28/10/2021,2021,10,28,9196,18,Belgium
27/10/2021,2021,10,27,9224,33,Belgium
26/10/2021,2021,10,26,9401,27,Belgium
25/10/2021,2021,10,25,9703,18,Belgium
24/10/2021,2021,10,24,2450,16,Belgium
23/10/2021,2021,10,23,4090,20,Belgium
22/10/2021,2021,10,22,7148,18,Belgium
21/10/2021,2021,10,21,6905,10,Belgium
20/10/2021,2021,10,20,6552,14,Belgium
19/10/2021,2021,10,19,6296,13,Belgium
18/10/2021,2021,10,18,6570,19,Belgium
17/10/2021,2021,10,17,1490,10,Belgium
16/10/2021,2021,10,16,2376,14,Belgium
15/10/2021,2021,10,15,4168,18,Belgium
14/10/2021,2021,10,14,3890,10,Belgium
13/10/2021,2021,10,13,3597,8,Belgium
12/10/2021,2021,10,12,3435,13,Belgium
11/10/2021,2021,10,11,3924,18,Belgium
10/10/2021,2021,10,10,820,4,Belgium
09/10/2021,2021,10,09,1424,11,Belgium
08/10/2021,2021,10,08,2545,7,Belgium
07/10/2021,2021,10,07,2517,11,Belgium
06/10/2021,2021,10,06,2545,13,Belgium
05/10/2021,2021,10,05,2290,14,Belgium
04/10/2021,2021,10,04,2791,5,Belgium
03/10/2021,2021,10,03,678,8,Belgium
02/10/2021,2021,10,02,1147,8,Belgium
01/10/2021,2021,10,01,2149,6,Belgium
30/09/2021,2021,09,30,2164,11,Belgium
29/09/2021,2021,09,29,2167,7,Belgium
28/09/2021,2021,09,28,2391,7,Belgium
27/09/2021,2021,09,27,2628,13,Belgium
26/09/2021,2021,09,26,723,7,Belgium
25/09/2021,2021,09,25,1216,7,Belgium
24/09/2021,2021,09,24,2253,7,Belgium
23/09/2021,2021,09,23,2080,11,Belgium
22/09/2021,2021,09,22,2171,11,Belgium
21/09/2021,2021,09,21,2269,5,Belgium
20/09/2021,2021,09,20,2940,6,Belgium
19/09/2021,2021,09,19,652,7,Belgium
18/09/2021,2021,09,18,1260,9,Belgium
17/09/2021,2021,09,17,2390,5,Belgium
16/09/2021,2021,09,16,2426,1,Belgium
15/09/2021,2021,09,15,2322,7,Belgium
14/09/2021,2021,09,14,2498,8,Belgium
13/09/2021,2021,09,13,2930,7,Belgium
12/09/2021,2021,09,12,679,7,Belgium
11/09/2021,2021,09,11,1306,7,Belgium
10/09/2021,2021,09,10,2323,7,Belgium
09/09/2021,2021,09,09,2105,6,Belgium
08/09/2021,2021,09,08,2190,9,Belgium
07/09/2021,2021,09,07,2361,9,Belgium
06/09/2021,2021,09,06,2800,7,Belgium
05/09/2021,2021,09,05,733,8,Belgium
04/09/2021,2021,09,04,1240,10,Belgium
03/09/2021,2021,09,03,2155,6,Belgium
02/09/2021,2021,09,02,2113,6,Belgium
01/09/2021,2021,09,01,2222,7,Belgium
31/08/2021,2021,08,31,2358,4,Belgium
30/08/2021,2021,08,30,2944,5,Belgium
29/08/2021,2021,08,29,833,4,Belgium
28/08/2021,2021,08,28,1372,4,Belgium
27/08/2021,2021,08,27,2217,5,Belgium
26/08/2021,2021,08,26,2187,6,Belgium
25/08/2021,2021,08,25,2395,7,Belgium
24/08/2021,2021,08,24,2460,6,Belgium
23/08/2021,2021,08,23,2654,3,Belgium
22/08/2021,2021,08,22,956,7,Belgium
21/08/2021,2021,08,21,1285,7,Belgium
20/08/2021,2021,08,20,2245,9,Belgium
