dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,5048,2,Cyprus
30/12/2021,2021,12,30,3851,1,Cyprus
29/12/2021,2021,12,29,3002,5,Cyprus
28/12/2021,2021,12,28,2241,0,Cyprus
27/12/2021,2021,12,27,1925,2,Cyprus
26/12/2021,2021,12,26,912,1,Cyprus
25/12/2021,2021,12,25,268,1,Cyprus
24/12/2021,2021,12,24,917,2,Cyprus
23/12/2021,2021,12,23,978,2,Cyprus
22/12/2021,2021,12,22,883,1,Cyprus
21/12/2021,2021,12,21,806,0,Cyprus
20/12/2021,2021,12,20,835,3,Cyprus
19/12/2021,2021,12,19,448,1,Cyprus
18/12/2021,2021,12,18,508,2,Cyprus
17/12/2021,2021,12,17,695,1,Cyprus
16/12/2021,2021,12,16,632,2,Cyprus
15/12/2021,2021,12,15,650,2,Cyprus
14/12/2021,2021,12,14,662,1,Cyprus
13/12/2021,2021,12,13,715,1,Cyprus
12/12/2021,2021,12,12,393,2,Cyprus
11/12/2021,2021,12,11,428,1,Cyprus
10/12/2021,2021,12,10,662,0,Cyprus
09/12/2021,2021,12,09,635,2,Cyprus
08/12/2021,2021,12,08,576,3,Cyprus
07/12/2021,2021,12,07,619,0,Cyprus
06/12/2021,2021,12,06,706,1,Cyprus
05/12/2021,2021,12,05,307,0,Cyprus
04/12/2021,2021,12,04,428,2,Cyprus
03/12/2021,2021,12,03,594,1,Cyprus
02/12/2021,2021,12,02,538,1,Cyprus
01/12/2021,2021,12,01,492,1,Cyprus
30/11/2021,2021,11,30,613,3,Cyprus
29/11/2021,2021,11,29,586,0,Cyprus
28/11/2021,2021,11,28,337,2,Cyprus
27/11/2021,2021,11,27,535,1,Cyprus
26/11/2021,2021,11,26,451,1,Cyprus
25/11/2021,2021,11,25,489,0,Cyprus
24/11/2021,2021,11,24,434,0,Cyprus
23/11/2021,2021,11,23,437,0,Cyprus
22/11/2021,2021,11,22,491,0,Cyprus
21/11/2021,2021,11,21,212,0,Cyprus
20/11/2021,2021,11,20,255,1,Cyprus
19/11/2021,2021,11,19,475,0,Cyprus
18/11/2021,2021,11,18,388,1,Cyprus
17/11/2021,2021,11,17,346,0,Cyprus
16/11/2021,2021,11,16,386,0,Cyprus
15/11/2021,2021,11,15,354,0,Cyprus
14/11/2021,2021,11,14,206,0,Cyprus
13/11/2021,2021,11,13,218,0,Cyprus
12/11/2021,2021,11,12,224,1,Cyprus
11/11/2021,2021,11,11,264,0,Cyprus
10/11/2021,2021,11,10,275,1,Cyprus
09/11/2021,2021,11,09,266,0,Cyprus
08/11/2021,2021,11,08,284,0,Cyprus
07/11/2021,2021,11,07,133,0,Cyprus
06/11/2021,2021,11,06,174,1,Cyprus
05/11/2021,2021,11,05,227,0,Cyprus
04/11/2021,2021,11,04,252,0,Cyprus
03/11/2021,2021,11,03,188,0,Cyprus
02/11/2021,2021,11,02,249,1,Cyprus
01/11/2021,2021,11,01,280,0,Cyprus
31/10/2021,2021,10,31,112,0,Cyprus
30/10/2021,2021,10,30,155,3,Cyprus
29/10/2021,2021,10,29,160,0,Cyprus
28/10/2021,2021,10,28,109,0,Cyprus
27/10/2021,2021,10,27,200,1,Cyprus
