dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,4998,55,Czechia
30/12/2021,2021,12,30,5756,58,Czechia
29/12/2021,2021,12,29,6160,75,Czechia
28/12/2021,2021,12,28,9078,72,Czechia
27/12/2021,2021,12,27,6864,51,Czechia
26/12/2021,2021,12,26,2015,85,Czechia
25/12/2021,2021,12,25,1090,68,Czechia
24/12/2021,2021,12,24,2046,80,Czechia
23/12/2021,2021,12,23,7361,60,Czechia
22/12/2021,2021,12,22,7696,84,Czechia
21/12/2021,2021,12,21,11846,81,Czechia
20/12/2021,2021,12,20,8600,80,Czechia
19/12/2021,2021,12,19,3745,69,Czechia
18/12/2021,2021,12,18,5985,104,Czechia
17/12/2021,2021,12,17,8962,93,Czechia
16/12/2021,2021,12,16,9501,97,Czechia
15/12/2021,2021,12,15,11618,124,Czechia
14/12/2021,2021,12,14,16709,114,Czechia
13/12/2021,2021,12,13,11906,115,Czechia
12/12/2021,2021,12,12,4129,124,Czechia
11/12/2021,2021,12,11,9086,100,Czechia
10/12/2021,2021,12,10,12401,121,Czechia
09/12/2021,2021,12,09,14266,114,Czechia
08/12/2021,2021,12,08,16209,113,Czechia
07/12/2021,2021,12,07,19538,112,Czechia
06/12/2021,2021,12,06,15581,127,Czechia
05/12/2021,2021,12,05,6335,110,Czechia
04/12/2021,2021,12,04,10982,109,Czechia
03/12/2021,2021,12,03,17685,122,Czechia
02/12/2021,2021,12,02,18629,125,Czechia
01/12/2021,2021,12,01,21154,140,Czechia
30/11/2021,2021,11,30,22025,121,Czechia
29/11/2021,2021,11,29,17617,108,Czechia
28/11/2021,2021,11,28,9307,119,Czechia
27/11/2021,2021,11,27,12528,95,Czechia
26/11/2021,2021,11,26,20387,119,Czechia
25/11/2021,2021,11,25,27937,115,Czechia
24/11/2021,2021,11,24,18047,93,Czechia
23/11/2021,2021,11,23,25912,115,Czechia
22/11/2021,2021,11,22,14518,111,Czechia
21/11/2021,2021,11,21,8278,113,Czechia
20/11/2021,2021,11,20,14415,96,Czechia
19/11/2021,2021,11,19,22972,114,Czechia
18/11/2021,2021,11,18,13521,121,Czechia
17/11/2021,2021,11,17,14201,82,Czechia
16/11/2021,2021,11,16,22542,70,Czechia
15/11/2021,2021,11,15,11563,93,Czechia
14/11/2021,2021,11,14,5699,63,Czechia
13/11/2021,2021,11,13,9183,74,Czechia
12/11/2021,2021,11,12,14260,67,Czechia
11/11/2021,2021,11,11,10454,71,Czechia
10/11/2021,2021,11,10,13571,75,Czechia
09/11/2021,2021,11,09,14583,64,Czechia
08/11/2021,2021,11,08,9290,49,Czechia
07/11/2021,2021,11,07,3013,39,Czechia
06/11/2021,2021,11,06,5745,53,Czechia
05/11/2021,2021,11,05,9258,57,Czechia
04/11/2021,2021,11,04,8496,45,Czechia
03/11/2021,2021,11,03,9484,45,Czechia
02/11/2021,2021,11,02,9941,36,Czechia
01/11/2021,2021,11,01,7618,31,Czechia
31/10/2021,2021,10,31,2792,31,Czechia
30/10/2021,2021,10,30,5061,25,Czechia
29/10/2021,2021,10,29,5761,26,Czechia
28/10/2021,2021,10,28,4357,26,Czechia
27/10/2021,2021,10,27,5866,21,Czechia
26/10/2021,2021,10,26,6291,16,Czechia
25/10/2021,2021,10,25,4287,20,Czechia
24/10/2021,2021,10,24,1840,21,Czechia
23/10/2021,2021,10,23,2756,13,Czechia
22/10/2021,2021,10,22,4239,14,Czechia
21/10/2021,2021,10,21,3646,10,Czechia
20/10/2021,2021,10,20,3281,7,Czechia
19/10/2021,2021,10,19,3249,10,Czechia
18/10/2021,2021,10,18,2539,12,Czechia
17/10/2021,2021,10,17,796,11,Czechia
16/10/2021,2021,10,16,1158,9,Czechia
15/10/2021,2021,10,15,1782,10,Czechia
14/10/2021,2021,10,14,1541,6,Czechia
13/10/2021,2021,10,13,1500,6,Czechia
12/10/2021,2021,10,12,1508,7,Czechia
11/10/2021,2021,10,11,1346,5,Czechia
10/10/2021,2021,10,10,338,4,Czechia
09/10/2021,2021,10,09,668,3,Czechia
08/10/2021,2021,10,08,1019,4,Czechia
07/10/2021,2021,10,07,992,3,Czechia
06/10/2021,2021,10,06,1048,5,Czechia
05/10/2021,2021,10,05,1138,3,Czechia
04/10/2021,2021,10,04,824,4,Czechia
03/10/2021,2021,10,03,318,4,Czechia
02/10/2021,2021,10,02,552,1,Czechia
01/10/2021,2021,10,01,830,1,Czechia
30/09/2021,2021,09,30,922,1,Czechia
29/09/2021,2021,09,29,735,5,Czechia
28/09/2021,2021,09,28,474,3,Czechia
27/09/2021,2021,09,27,677,0,Czechia
26/09/2021,2021,09,26,254,0,Czechia
25/09/2021,2021,09,25,419,2,Czechia
24/09/2021,2021,09,24,539,0,Czechia
23/09/2021,2021,09,23,484,3,Czechia
22/09/2021,2021,09,22,523,2,Czechia
21/09/2021,2021,09,21,597,2,Czechia
20/09/2021,2021,09,20,481,4,Czechia
19/09/2021,2021,09,19,188,2,Czechia
18/09/2021,2021,09,18,303,5,Czechia
17/09/2021,2021,09,17,448,3,Czechia
16/09/2021,2021,09,16,562,0,Czechia
15/09/2021,2021,09,15,524,3,Czechia
14/09/2021,2021,09,14,557,3,Czechia
13/09/2021,2021,09,13,495,0,Czechia
12/09/2021,2021,09,12,137,2,Czechia
11/09/2021,2021,09,11,251,0,Czechia
10/09/2021,2021,09,10,446,0,Czechia
09/09/2021,2021,09,09,421,0,Czechia
08/09/2021,2021,09,08,382,1,Czechia
07/09/2021,2021,09,07,583,3,Czechia
06/09/2021,2021,09,06,393,1,Czechia
05/09/2021,2021,09,05,141,0,Czechia
04/09/2021,2021,09,04,207,0,Czechia
03/09/2021,2021,09,03,310,0,Czechia
02/09/2021,2021,09,02,306,2,Czechia
01/09/2021,2021,09,01,262,0,Czechia
31/08/2021,2021,08,31,292,0,Czechia
30/08/2021,2021,08,30,241,0,Czechia
29/08/2021,2021,08,29,81,1,Czechia
28/08/2021,2021,08,28,133,2,Czechia
27/08/2021,2021,08,27,183,1,Czechia
26/08/2021,2021,08,26,214,0,Czechia
25/08/2021,2021,08,25,250,2,Czechia
24/08/2021,2021,08,24,254,1,Czechia
23/08/2021,2021,08,23,214,1,Czechia
22/08/2021,2021,08,22,107,0,Czechia
21/08/2021,2021,08,21,135,0,Czechia
20/08/2021,2021,08,20,171,1,Czechia
19/08/2021,2021,08,19,166,2,Czechia
18/08/2021,2021,08,18,209,2,Czechia
17/08/2021,2021,08,17,300,1,Czechia
16/08/2021,2021,08,16,216,3,Czechia
15/08/2021,2021,08,15,77,3,Czechia
14/08/2021,2021,08,14,142,0,Czechia
13/08/2021,2021,08,13,223,0,Czechia
12/08/2021,2021,08,12,190,0,Czechia
11/08/2021,2021,08,11,220,1,Czechia
10/08/2021,2021,08,10,261,0,Czechia
09/08/2021,2021,08,09,176,1,Czechia
08/08/2021,2021,08,08,107,0,Czechia
07/08/2021,2021,08,07,156,0,Czechia
