dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,18695,11,Denmark
30/12/2021,2021,12,30,21403,9,Denmark
29/12/2021,2021,12,29,23228,16,Denmark
28/12/2021,2021,12,28,13000,14,Denmark
27/12/2021,2021,12,27,16164,7,Denmark
24/12/2021,2021,12,24,11229,14,Denmark
23/12/2021,2021,12,23,12487,15,Denmark
22/12/2021,2021,12,22,13386,14,Denmark
21/12/2021,2021,12,21,13057,17,Denmark
20/12/2021,2021,12,20,10082,8,Denmark
19/12/2021,2021,12,19,8212,9,Denmark
18/12/2021,2021,12,18,8594,13,Denmark
17/12/2021,2021,12,17,11194,3,Denmark
16/12/2021,2021,12,16,9999,12,Denmark
15/12/2021,2021,12,15,8773,9,Denmark
14/12/2021,2021,12,14,8314,7,Denmark
13/12/2021,2021,12,13,7799,9,Denmark
12/12/2021,2021,12,12,5989,9,Denmark
11/12/2021,2021,12,11,5606,9,Denmark
10/12/2021,2021,12,10,6599,13,Denmark
09/12/2021,2021,12,09,6985,11,Denmark
08/12/2021,2021,12,08,6629,7,Denmark
07/12/2021,2021,12,07,6324,9,Denmark
06/12/2021,2021,12,06,7146,10,Denmark
05/12/2021,2021,12,05,3026,7,Denmark
04/12/2021,2021,12,04,4325,12,Denmark
03/12/2021,2021,12,03,4559,15,Denmark
02/12/2021,2021,12,02,4680,3,Denmark
01/12/2021,2021,12,01,5120,14,Denmark
30/11/2021,2021,11,30,4148,12,Denmark
29/11/2021,2021,11,29,4326,11,Denmark
28/11/2021,2021,11,28,4290,9,Denmark
27/11/2021,2021,11,27,3744,13,Denmark
26/11/2021,2021,11,26,4076,9,Denmark
25/11/2021,2021,11,25,4390,12,Denmark
24/11/2021,2021,11,24,4426,9,Denmark
23/11/2021,2021,11,23,4199,4,Denmark
22/11/2021,2021,11,22,3711,6,Denmark
21/11/2021,2021,11,21,3415,3,Denmark
20/11/2021,2021,11,20,3795,10,Denmark
19/11/2021,2021,11,19,4070,5,Denmark
18/11/2021,2021,11,18,4013,6,Denmark
17/11/2021,2021,11,17,3907,5,Denmark
16/11/2021,2021,11,16,3899,9,Denmark
15/11/2021,2021,11,15,3670,5,Denmark
14/11/2021,2021,11,14,3223,7,Denmark
13/11/2021,2021,11,13,2948,7,Denmark
12/11/2021,2021,11,12,4585,4,Denmark
11/11/2021,2021,11,11,2132,4,Denmark
10/11/2021,2021,11,10,3017,3,Denmark
09/11/2021,2021,11,09,2562,2,Denmark
08/11/2021,2021,11,08,2294,2,Denmark
07/11/2021,2021,11,07,2416,3,Denmark
06/11/2021,2021,11,06,2097,10,Denmark
05/11/2021,2021,11,05,2251,3,Denmark
04/11/2021,2021,11,04,2598,5,Denmark
03/11/2021,2021,11,03,1978,1,Denmark
02/11/2021,2021,11,02,1981,0,Denmark
01/11/2021,2021,11,01,1457,2,Denmark
31/10/2021,2021,10,31,1532,1,Denmark
30/10/2021,2021,10,30,1671,4,Denmark
29/10/2021,2021,10,29,1784,0,Denmark
28/10/2021,2021,10,28,1847,1,Denmark
27/10/2021,2021,10,27,1871,5,Denmark
26/10/2021,2021,10,26,1253,4,Denmark
25/10/2021,2021,10,25,1411,0,Denmark
24/10/2021,2021,10,24,1349,2,Denmark
23/10/2021,2021,10,23,1262,1,Denmark
22/10/2021,2021,10,22,1270,0,Denmark
21/10/2021,2021,10,21,1247,2,Denmark
20/10/2021,2021,10,20,1127,4,Denmark
19/10/2021,2021,10,19,756,2,Denmark
18/10/2021,2021,10,18,752,3,Denmark
17/10/2021,2021,10,17,591,5,Denmark
16/10/2021,2021,10,16,753,1,Denmark
15/10/2021,2021,10,15,700,3,Denmark
14/10/2021,2021,10,14,767,2,Denmark
13/10/2021,2021,10,13,789,0,Denmark
12/10/2021,2021,10,12,587,3,Denmark
11/10/2021,2021,10,11,564,2,Denmark
10/10/2021,2021,10,10,544,0,Denmark
09/10/2021,2021,10,09,618,0,Denmark
08/10/2021,2021,10,08,670,1,Denmark
07/10/2021,2021,10,07,607,3,Denmark
06/10/2021,2021,10,06,573,1,Denmark
05/10/2021,2021,10,05,477,0,Denmark
04/10/2021,2021,10,04,380,1,Denmark
03/10/2021,2021,10,03,368,0,Denmark
02/10/2021,2021,10,02,426,4,Denmark
01/10/2021,2021,10,01,441,3,Denmark
30/09/2021,2021,09,30,427,2,Denmark
29/09/2021,2021,09,29,542,2,Denmark
28/09/2021,2021,09,28,457,6,Denmark
27/09/2021,2021,09,27,333,4,Denmark
26/09/2021,2021,09,26,353,2,Denmark
25/09/2021,2021,09,25,358,0,Denmark
24/09/2021,2021,09,24,382,2,Denmark
23/09/2021,2021,09,23,341,4,Denmark
22/09/2021,2021,09,22,346,1,Denmark
21/09/2021,2021,09,21,344,3,Denmark
20/09/2021,2021,09,20,268,2,Denmark
19/09/2021,2021,09,19,252,3,Denmark
18/09/2021,2021,09,18,325,3,Denmark
17/09/2021,2021,09,17,324,3,Denmark
16/09/2021,2021,09,16,313,2,Denmark
15/09/2021,2021,09,15,370,3,Denmark
14/09/2021,2021,09,14,425,0,Denmark
13/09/2021,2021,09,13,263,3,Denmark
12/09/2021,2021,09,12,434,0,Denmark
11/09/2021,2021,09,11,386,3,Denmark
10/09/2021,2021,09,10,557,4,Denmark
09/09/2021,2021,09,09,591,5,Denmark
08/09/2021,2021,09,08,514,5,Denmark
07/09/2021,2021,09,07,451,2,Denmark
06/09/2021,2021,09,06,461,2,Denmark
05/09/2021,2021,09,05,632,0,Denmark
04/09/2021,2021,09,04,438,3,Denmark
03/09/2021,2021,09,03,697,3,Denmark
02/09/2021,2021,09,02,694,0,Denmark
01/09/2021,2021,09,01,825,0,Denmark
31/08/2021,2021,08,31,843,4,Denmark
30/08/2021,2021,08,30,762,0,Denmark
29/08/2021,2021,08,29,737,3,Denmark
28/08/2021,2021,08,28,877,1,Denmark
27/08/2021,2021,08,27,925,3,Denmark
26/08/2021,2021,08,26,982,2,Denmark
25/08/2021,2021,08,25,987,3,Denmark
24/08/2021,2021,08,24,1340,1,Denmark
23/08/2021,2021,08,23,774,1,Denmark
22/08/2021,2021,08,22,720,2,Denmark
21/08/2021,2021,08,21,1024,1,Denmark
20/08/2021,2021,08,20,923,1,Denmark
19/08/2021,2021,08,19,984,0,Denmark
18/08/2021,2021,08,18,1193,0,Denmark
17/08/2021,2021,08,17,886,2,Denmark
16/08/2021,2021,08,16,959,0,Denmark
15/08/2021,2021,08,15,850,1,Denmark
14/08/2021,2021,08,14,917,1,Denmark
13/08/2021,2021,08,13,1038,3,Denmark
12/08/2021,2021,08,12,1085,1,Denmark
11/08/2021,2021,08,11,1162,0,Denmark
10/08/2021,2021,08,10,1004,2,Denmark
09/08/2021,2021,08,09,935,0,Denmark
08/08/2021,2021,08,08,821,0,Denmark
07/08/2021,2021,08,07,946,0,Denmark
06/08/2021,2021,08,06,865,0,Denmark
05/08/2021,2021,08,05,932,2,Denmark
04/08/2021,2021,08,04,927,0,Denmark
03/08/2021,2021,08,03,810,0,Denmark
02/08/2021,2021,08,02,785,1,Denmark
01/08/2021,2021,08,01,893,0,Denmark
