dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,232200,189,France
30/12/2021,2021,12,30,206243,180,France
29/12/2021,2021,12,29,208099,184,France
28/12/2021,2021,12,28,179807,290,France
27/12/2021,2021,12,27,30383,256,France
26/12/2021,2021,12,26,27697,96,France
25/12/2021,2021,12,25,104611,84,France
24/12/2021,2021,12,24,94124,167,France
23/12/2021,2021,12,23,91608,179,France
22/12/2021,2021,12,22,84272,170,France
21/12/2021,2021,12,21,72832,229,France
20/12/2021,2021,12,20,15075,224,France
19/12/2021,2021,12,19,48473,75,France
18/12/2021,2021,12,18,58536,85,France
17/12/2021,2021,12,17,58128,162,France
16/12/2021,2021,12,16,60866,188,France
15/12/2021,2021,12,15,65713,151,France
14/12/2021,2021,12,14,63405,158,France
13/12/2021,2021,12,13,12036,243,France
12/12/2021,2021,12,12,43848,48,France
11/12/2021,2021,12,11,53720,65,France
10/12/2021,2021,12,10,55339,150,France
09/12/2021,2021,12,09,56854,136,France
08/12/2021,2021,12,08,61340,133,France
07/12/2021,2021,12,07,59019,172,France
06/12/2021,2021,12,06,11308,192,France
05/12/2021,2021,12,05,42252,29,France
04/12/2021,2021,12,04,51624,49,France
03/12/2021,2021,12,03,49858,127,France
02/12/2021,2021,12,02,48416,103,France
01/12/2021,2021,12,01,49610,96,France
30/11/2021,2021,11,30,47177,115,France
29/11/2021,2021,11,29,8279,122,France
28/11/2021,2021,11,28,31648,23,France
27/11/2021,2021,11,27,37218,34,France
26/11/2021,2021,11,26,34436,60,France
25/11/2021,2021,11,25,33464,72,France
24/11/2021,2021,11,24,32591,81,France
23/11/2021,2021,11,23,30454,84,France
22/11/2021,2021,11,22,5266,97,France
21/11/2021,2021,11,21,19749,15,France
20/11/2021,2021,11,20,22678,23,France
19/11/2021,2021,11,19,21220,50,France
18/11/2021,2021,11,18,20366,52,France
17/11/2021,2021,11,17,20294,56,France
16/11/2021,2021,11,16,19778,47,France
15/11/2021,2021,11,15,3241,75,France
14/11/2021,2021,11,14,12496,17,France
13/11/2021,2021,11,13,14646,16,France
12/11/2021,2021,11,12,3860,48,France
11/11/2021,2021,11,11,12603,17,France
10/11/2021,2021,11,10,11883,33,France
09/11/2021,2021,11,09,12476,44,France
08/11/2021,2021,11,08,2197,57,France
07/11/2021,2021,11,07,8547,10,France
06/11/2021,2021,11,06,9605,25,France
05/11/2021,2021,11,05,8998,26,France
04/11/2021,2021,11,04,9502,49,France
03/11/2021,2021,11,03,10050,35,France
02/11/2021,2021,11,02,2039,87,France
01/11/2021,2021,11,01,1866,6,France
31/10/2021,2021,10,31,6329,12,France
30/10/2021,2021,10,30,7360,22,France
29/10/2021,2021,10,29,6433,28,France
28/10/2021,2021,10,28,6461,34,France
27/10/2021,2021,10,27,6528,33,France
26/10/2021,2021,10,26,6603,38,France
25/10/2021,2021,10,25,1295,43,France
24/10/2021,2021,10,24,5005,4,France
23/10/2021,2021,10,23,6291,23,France
22/10/2021,2021,10,22,6366,29,France
21/10/2021,2021,10,21,6127,37,France
20/10/2021,2021,10,20,6036,26,France
19/10/2021,2021,10,19,5934,39,France
18/10/2021,2021,10,18,1057,46,France
17/10/2021,2021,10,17,3778,5,France
16/10/2021,2021,10,16,4899,15,France
15/10/2021,2021,10,15,6099,36,France
14/10/2021,2021,10,14,5187,40,France
13/10/2021,2021,10,13,5578,24,France
12/10/2021,2021,10,12,5880,53,France
11/10/2021,2021,10,11,1120,35,France
10/10/2021,2021,10,10,3991,8,France
09/10/2021,2021,10,09,4734,15,France
08/10/2021,2021,10,08,4470,41,France
07/10/2021,2021,10,07,4615,36,France
06/10/2021,2021,10,06,4946,39,France
05/10/2021,2021,10,05,5558,61,France
04/10/2021,2021,10,04,1138,55,France
03/10/2021,2021,10,03,3744,9,France
02/10/2021,2021,10,02,4948,30,France
01/10/2021,2021,10,01,4935,49,France
30/09/2021,2021,09,30,5204,61,France
29/09/2021,2021,09,29,5835,43,France
28/09/2021,2021,09,28,6765,58,France
27/09/2021,2021,09,27,1309,84,France
26/09/2021,2021,09,26,4706,14,France
25/09/2021,2021,09,25,6012,29,France
24/09/2021,2021,09,24,5879,53,France
23/09/2021,2021,09,23,6229,66,France
22/09/2021,2021,09,22,6794,60,France
21/09/2021,2021,09,21,7851,153,France
20/09/2021,2021,09,20,1515,30,France
19/09/2021,2021,09,19,5814,28,France
18/09/2021,2021,09,18,7414,42,France
17/09/2021,2021,09,17,7373,92,France
16/09/2021,2021,09,16,8128,74,France
15/09/2021,2021,09,15,9144,80,France
14/09/2021,2021,09,14,10327,94,France
13/09/2021,2021,09,13,2062,97,France
12/09/2021,2021,09,12,7679,29,France
11/09/2021,2021,09,11,9601,46,France
10/09/2021,2021,09,10,9966,94,France
09/09/2021,2021,09,09,10969,114,France
08/09/2021,2021,09,08,12828,119,France
07/09/2021,2021,09,07,14534,108,France
06/09/2021,2021,09,06,3042,126,France
05/09/2021,2021,09,05,10410,49,France
04/09/2021,2021,09,04,13336,83,France
03/09/2021,2021,09,03,13466,95,France
02/09/2021,2021,09,02,15911,109,France
01/09/2021,2021,09,01,17621,95,France
31/08/2021,2021,08,31,19425,135,France
30/08/2021,2021,08,30,3795,113,France
29/08/2021,2021,08,29,13630,53,France
28/08/2021,2021,08,28,17590,74,France
27/08/2021,2021,08,27,18249,106,France
26/08/2021,2021,08,26,19683,122,France
25/08/2021,2021,08,25,23706,103,France
24/08/2021,2021,08,24,24853,156,France
23/08/2021,2021,08,23,5166,109,France
22/08/2021,2021,08,22,17300,115,France
21/08/2021,2021,08,21,22636,129,France
20/08/2021,2021,08,20,22319,85,France
19/08/2021,2021,08,19,23973,129,France
18/08/2021,2021,08,18,28405,122,France
17/08/2021,2021,08,17,28114,111,France
16/08/2021,2021,08,16,5829,107,France
15/08/2021,2021,08,15,21172,44,France
14/08/2021,2021,08,14,24427,53,France
13/08/2021,2021,08,13,26453,90,France
12/08/2021,2021,08,12,28554,77,France
11/08/2021,2021,08,11,30920,58,France
10/08/2021,2021,08,10,28576,70,France
09/08/2021,2021,08,09,5775,75,France
08/08/2021,2021,08,08,20450,28,France
07/08/2021,2021,08,07,25755,32,France
06/08/2021,2021,08,06,25077,64,France
05/08/2021,2021,08,05,26460,52,France
04/08/2021,2021,08,04,28784,49,France
03/08/2021,2021,08,03,26829,59,France
02/08/2021,2021,08,02,5184,53,France
01/08/2021,2021,08,01,19600,18,France
31/07/2021,2021,07,31,23471,43,France
30/07/2021,2021,07,30,24309,63,France
29/07/2021,2021,07,29,25190,28,France
28/07/2021,2021,07,28,27934,44,France
27/07/2021,2021,07,27,26871,28,France
26/07/2021,2021,07,26,5307,45,France
25/07/2021,2021,07,25,15242,6,France
24/07/2021,2021,07,24,25624,22,France
23/07/2021,2021,07,23,19561,37,France
22/07/2021,2021,07,22,21909,11,France
21/07/2021,2021,07,21,21539,22,France
20/07/2021,2021,07,20,18181,33,France
19/07/2021,2021,07,19,4151,20,France
18/07/2021,2021,07,18,12532,5,France
17/07/2021,2021,07,17,10949,16,France
16/07/2021,2021,07,16,10908,22,France
15/07/2021,2021,07,15,3617,16,France
14/07/2021,2021,07,14,8875,6,France
13/07/2021,2021,07,13,6950,54,France
12/07/2021,2021,07,12,1260,28,France
11/07/2021,2021,07,11,4256,4,France
10/07/2021,2021,07,10,4696,19,France
09/07/2021,2021,07,09,4580,18,France
08/07/2021,2021,07,08,4442,25,France
07/07/2021,2021,07,07,4081,28,France
06/07/2021,2021,07,06,3585,34,France
05/07/2021,2021,07,05,796,36,France
04/07/2021,2021,07,04,2549,9,France
03/07/2021,2021,07,03,3006,17,France
02/07/2021,2021,07,02,2683,24,France
01/07/2021,2021,07,01,2664,29,France
30/06/2021,2021,06,30,2457,25,France
29/06/2021,2021,06,29,2314,45,France
28/06/2021,2021,06,28,509,44,France
27/06/2021,2021,06,27,1578,17,France
26/06/2021,2021,06,26,2128,12,France
25/06/2021,2021,06,25,1986,33,France
24/06/2021,2021,06,24,2007,44,France
23/06/2021,2021,06,23,2320,33,France
22/06/2021,2021,06,22,2204,51,France
21/06/2021,2021,06,21,487,40,France
20/06/2021,2021,06,20,1815,14,France
19/06/2021,2021,06,19,2624,22,France
18/06/2021,2021,06,18,2439,68,France
17/06/2021,2021,06,17,2786,56,France
16/06/2021,2021,06,16,3058,44,France
15/06/2021,2021,06,15,3235,80,France
14/06/2021,2021,06,14,689,63,France
13/06/2021,2021,06,13,2855,13,France
12/06/2021,2021,06,12,3972,34,France
11/06/2021,2021,06,11,3871,74,France
10/06/2021,2021,06,10,4475,68,France
09/06/2021,2021,06,09,5557,65,France
08/06/2021,2021,06,08,6018,75,France
07/06/2021,2021,06,07,1164,64,France
06/06/2021,2021,06,06,5070,25,France
05/06/2021,2021,06,05,6654,57,France
04/06/2021,2021,06,04,6953,88,France
03/06/2021,2021,06,03,8161,70,France
02/06/2021,2021,06,02,8743,96,France
01/06/2021,2021,06,01,9848,134,France
31/05/2021,2021,05,31,1211,126,France
30/05/2021,2021,05,30,8541,44,France
29/05/2021,2021,05,29,10675,68,France
28/05/2021,2021,05,28,11268,125,France
27/05/2021,2021,05,27,13933,142,France
26/05/2021,2021,05,26,12646,144,France
25/05/2021,2021,05,25,3155,221,France
24/05/2021,2021,05,24,2229,62,France
23/05/2021,2021,05,23,9704,70,France
22/05/2021,2021,05,22,12611,89,France
21/05/2021,2021,05,21,12800,123,France
20/05/2021,2021,05,20,-348846,133,France
19/05/2021,2021,05,19,19050,141,France
18/05/2021,2021,05,18,17210,228,France
17/05/2021,2021,05,17,3350,196,France
16/05/2021,2021,05,16,13948,81,France
15/05/2021,2021,05,15,15685,112,France
14/05/2021,2021,05,14,7025,173,France
13/05/2021,2021,05,13,19461,131,France
12/05/2021,2021,05,12,21498,184,France
11/05/2021,2021,05,11,19791,251,France
10/05/2021,2021,05,10,3292,292,France
09/05/2021,2021,05,09,9128,115,France
08/05/2021,2021,05,08,20745,176,France
07/05/2021,2021,05,07,19124,251,France
06/05/2021,2021,05,06,21712,219,France
05/05/2021,2021,05,05,26000,244,France
04/05/2021,2021,05,04,24371,257,France
03/05/2021,2021,05,03,3760,311,France
02/05/2021,2021,05,02,9888,113,France
01/05/2021,2021,05,01,25670,192,France
30/04/2021,2021,04,30,24299,290,France
29/04/2021,2021,04,29,26538,306,France
28/04/2021,2021,04,28,31539,315,France
27/04/2021,2021,04,27,30317,347,France
26/04/2021,2021,04,26,5952,398,France
25/04/2021,2021,04,25,24465,145,France
24/04/2021,2021,04,24,32633,217,France
23/04/2021,2021,04,23,32340,332,France
22/04/2021,2021,04,22,34318,283,France
21/04/2021,2021,04,21,34968,313,France
20/04/2021,2021,04,20,43098,388,France
19/04/2021,2021,04,19,6696,447,France
18/04/2021,2021,04,18,29344,140,France
17/04/2021,2021,04,17,35861,189,France
16/04/2021,2021,04,16,36442,331,France
15/04/2021,2021,04,15,38045,296,France
14/04/2021,2021,04,14,43505,297,France
13/04/2021,2021,04,13,39113,345,France
12/04/2021,2021,04,12,8536,385,France
11/04/2021,2021,04,11,34895,176,France
10/04/2021,2021,04,10,43284,207,France
09/04/2021,2021,04,09,41243,330,France
08/04/2021,2021,04,08,84999,343,France
07/04/2021,2021,04,07,12951,421,France
06/04/2021,2021,04,06,8045,426,France
05/04/2021,2021,04,05,10793,197,France
04/04/2021,2021,04,04,66794,185,France
03/04/2021,2021,04,03,13917,185,France
02/04/2021,2021,04,02,46677,332,France
01/04/2021,2021,04,01,50659,308,France
31/03/2021,2021,03,31,59038,303,France
30/03/2021,2021,03,30,30702,381,France
29/03/2021,2021,03,29,9094,360,France
28/03/2021,2021,03,28,37014,131,France
27/03/2021,2021,03,27,42619,190,France
26/03/2021,2021,03,26,41869,897,France
25/03/2021,2021,03,25,45641,225,France
24/03/2021,2021,03,24,65373,245,France
23/03/2021,2021,03,23,14678,287,France
22/03/2021,2021,03,22,15792,343,France
21/03/2021,2021,03,21,30581,138,France
20/03/2021,2021,03,20,35327,176,France
19/03/2021,2021,03,19,35088,285,France
18/03/2021,2021,03,18,34998,268,France
17/03/2021,2021,03,17,38501,241,France
16/03/2021,2021,03,16,29975,408,France
15/03/2021,2021,03,15,6471,333,France
14/03/2021,2021,03,14,26343,140,France
13/03/2021,2021,03,13,29759,169,France
