dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,28972,99,Germany
30/12/2021,2021,12,30,41435,182,Germany
29/12/2021,2021,12,29,41683,190,Germany
28/12/2021,2021,12,28,43349,214,Germany
27/12/2021,2021,12,27,24489,166,Germany
26/12/2021,2021,12,26,10420,81,Germany
25/12/2021,2021,12,25,10429,77,Germany
24/12/2021,2021,12,24,21904,121,Germany
23/12/2021,2021,12,23,34993,206,Germany
22/12/2021,2021,12,22,40943,236,Germany
21/12/2021,2021,12,21,48281,281,Germany
20/12/2021,2021,12,20,26959,221,Germany
19/12/2021,2021,12,19,12228,104,Germany
18/12/2021,2021,12,18,28541,175,Germany
17/12/2021,2021,12,17,41265,297,Germany
16/12/2021,2021,12,16,47302,305,Germany
15/12/2021,2021,12,15,52436,356,Germany
14/12/2021,2021,12,14,60229,381,Germany
13/12/2021,2021,12,13,31614,287,Germany
12/12/2021,2021,12,12,15541,136,Germany
11/12/2021,2021,12,11,34673,276,Germany
10/12/2021,2021,12,10,51160,382,Germany
09/12/2021,2021,12,09,57716,382,Germany
08/12/2021,2021,12,08,67243,423,Germany
07/12/2021,2021,12,07,69332,439,Germany
06/12/2021,2021,12,06,42542,391,Germany
05/12/2021,2021,12,05,23100,206,Germany
04/12/2021,2021,12,04,42535,313,Germany
03/12/2021,2021,12,03,62554,414,Germany
02/12/2021,2021,12,02,68071,461,Germany
01/12/2021,2021,12,01,74018,482,Germany
30/11/2021,2021,11,30,73604,491,Germany
29/11/2021,2021,11,29,44392,411,Germany
28/11/2021,2021,11,28,25538,187,Germany
27/11/2021,2021,11,27,44929,357,Germany
26/11/2021,2021,11,26,64058,471,Germany
25/11/2021,2021,11,25,71914,472,Germany
24/11/2021,2021,11,24,75727,507,Germany
23/11/2021,2021,11,23,74534,551,Germany
22/11/2021,2021,11,22,46649,460,Germany
21/11/2021,2021,11,21,24779,211,Germany
20/11/2021,2021,11,20,42336,244,Germany
19/11/2021,2021,11,19,62524,449,Germany
