dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,40560,76,Greece
30/12/2021,2021,12,30,35580,72,Greece
29/12/2021,2021,12,29,28828,72,Greece
28/12/2021,2021,12,28,21732,60,Greece
27/12/2021,2021,12,27,9284,66,Greece
26/12/2021,2021,12,26,4036,79,Greece
25/12/2021,2021,12,25,6590,58,Greece
24/12/2021,2021,12,24,7660,94,Greece
23/12/2021,2021,12,23,6647,71,Greece
22/12/2021,2021,12,22,5635,69,Greece
21/12/2021,2021,12,21,6542,77,Greece
20/12/2021,2021,12,20,3689,85,Greece
19/12/2021,2021,12,19,2831,91,Greece
18/12/2021,2021,12,18,4337,63,Greece
17/12/2021,2021,12,17,4761,85,Greece
16/12/2021,2021,12,16,4696,96,Greece
15/12/2021,2021,12,15,4786,77,Greece
14/12/2021,2021,12,14,5953,130,Greece
13/12/2021,2021,12,13,3829,96,Greece
12/12/2021,2021,12,12,3225,90,Greece
11/12/2021,2021,12,11,4751,72,Greece
10/12/2021,2021,12,10,5087,103,Greece
09/12/2021,2021,12,09,5513,81,Greece
08/12/2021,2021,12,08,5899,81,Greece
07/12/2021,2021,12,07,7254,99,Greece
06/12/2021,2021,12,06,4927,116,Greece
05/12/2021,2021,12,05,3526,79,Greece
04/12/2021,2021,12,04,5143,88,Greece
03/12/2021,2021,12,03,6201,97,Greece
02/12/2021,2021,12,02,6256,89,Greece
01/12/2021,2021,12,01,6192,75,Greece
30/11/2021,2021,11,30,7720,88,Greece
29/11/2021,2021,11,29,6677,104,Greece
28/11/2021,2021,11,28,3823,96,Greece
27/11/2021,2021,11,27,5859,82,Greece
26/11/2021,2021,11,26,6602,86,Greece
25/11/2021,2021,11,25,6561,78,Greece
24/11/2021,2021,11,24,7106,93,Greece
23/11/2021,2021,11,23,8348,91,Greece
22/11/2021,2021,11,22,7287,105,Greece
21/11/2021,2021,11,21,4108,76,Greece
20/11/2021,2021,11,20,5944,69,Greece
19/11/2021,2021,11,19,7751,91,Greece
18/11/2021,2021,11,18,7276,63,Greece
17/11/2021,2021,11,17,6653,87,Greece
16/11/2021,2021,11,16,8364,80,Greece
15/11/2021,2021,11,15,6950,72,Greece
14/11/2021,2021,11,14,3842,80,Greece
13/11/2021,2021,11,13,6132,70,Greece
12/11/2021,2021,11,12,6832,55,Greece
11/11/2021,2021,11,11,6771,67,Greece
10/11/2021,2021,11,10,7089,70,Greece
09/11/2021,2021,11,09,8969,46,Greece
08/11/2021,2021,11,08,7335,65,Greece
07/11/2021,2021,11,07,4283,52,Greece
06/11/2021,2021,11,06,6356,43,Greece
05/11/2021,2021,11,05,6889,48,Greece
04/11/2021,2021,11,04,6784,42,Greece
03/11/2021,2021,11,03,6141,49,Greece
02/11/2021,2021,11,02,6856,59,Greece
01/11/2021,2021,11,01,5425,52,Greece
31/10/2021,2021,10,31,2722,44,Greece
30/10/2021,2021,10,30,4670,38,Greece
29/10/2021,2021,10,29,3611,55,Greece
28/10/2021,2021,10,28,2957,31,Greece
27/10/2021,2021,10,27,3639,63,Greece
26/10/2021,2021,10,26,4276,25,Greece
25/10/2021,2021,10,25,3937,54,Greece
24/10/2021,2021,10,24,2075,30,Greece
23/10/2021,2021,10,23,3155,43,Greece
22/10/2021,2021,10,22,3541,36,Greece
21/10/2021,2021,10,21,3376,34,Greece
20/10/2021,2021,10,20,3252,38,Greece
19/10/2021,2021,10,19,3926,29,Greece
18/10/2021,2021,10,18,3147,43,Greece
17/10/2021,2021,10,17,1689,27,Greece
16/10/2021,2021,10,16,2301,30,Greece
15/10/2021,2021,10,15,2618,27,Greece
14/10/2021,2021,10,14,2572,46,Greece
13/10/2021,2021,10,13,2312,31,Greece
12/10/2021,2021,10,12,3237,32,Greece
11/10/2021,2021,10,11,2358,41,Greece
10/10/2021,2021,10,10,1320,30,Greece
09/10/2021,2021,10,09,2162,36,Greece
08/10/2021,2021,10,08,2277,22,Greece
07/10/2021,2021,10,07,2229,30,Greece
06/10/2021,2021,10,06,2294,21,Greece
05/10/2021,2021,10,05,3084,34,Greece
04/10/2021,2021,10,04,2125,36,Greece
03/10/2021,2021,10,03,1142,31,Greece
02/10/2021,2021,10,02,1798,29,Greece
01/10/2021,2021,10,01,2601,32,Greece
30/09/2021,2021,09,30,2232,33,Greece
29/09/2021,2021,09,29,2157,44,Greece
28/09/2021,2021,09,28,3287,22,Greece
27/09/2021,2021,09,27,2122,47,Greece
26/09/2021,2021,09,26,1100,24,Greece
25/09/2021,2021,09,25,1814,16,Greece
24/09/2021,2021,09,24,2033,33,Greece
23/09/2021,2021,09,23,2101,31,Greece
22/09/2021,2021,09,22,2325,26,Greece
21/09/2021,2021,09,21,3688,42,Greece
20/09/2021,2021,09,20,2124,39,Greece
19/09/2021,2021,09,19,1286,33,Greece
18/09/2021,2021,09,18,2184,37,Greece
17/09/2021,2021,09,17,2231,39,Greece
16/09/2021,2021,09,16,2322,42,Greece
15/09/2021,2021,09,15,2406,37,Greece
14/09/2021,2021,09,14,3590,31,Greece
13/09/2021,2021,09,13,1608,51,Greece
12/09/2021,2021,09,12,1319,28,Greece
11/09/2021,2021,09,11,2190,39,Greece
10/09/2021,2021,09,10,2129,32,Greece
09/09/2021,2021,09,09,2163,43,Greece
08/09/2021,2021,09,08,2198,37,Greece
07/09/2021,2021,09,07,3442,38,Greece
06/09/2021,2021,09,06,1765,47,Greece
05/09/2021,2021,09,05,1284,43,Greece
04/09/2021,2021,09,04,2284,30,Greece
03/09/2021,2021,09,03,2715,35,Greece
02/09/2021,2021,09,02,2836,33,Greece
01/09/2021,2021,09,01,2868,47,Greece
31/08/2021,2021,08,31,4306,22,Greece
30/08/2021,2021,08,30,2343,19,Greece
29/08/2021,2021,08,29,1581,37,Greece
28/08/2021,2021,08,28,3062,35,Greece
27/08/2021,2021,08,27,3067,22,Greece
26/08/2021,2021,08,26,3528,28,Greece
25/08/2021,2021,08,25,3265,42,Greece
24/08/2021,2021,08,24,5000,32,Greece
23/08/2021,2021,08,23,2626,34,Greece
22/08/2021,2021,08,22,1947,33,Greece
21/08/2021,2021,08,21,3184,23,Greece
20/08/2021,2021,08,20,3596,30,Greece
19/08/2021,2021,08,19,3273,20,Greece
18/08/2021,2021,08,18,3437,25,Greece
17/08/2021,2021,08,17,4412,16,Greece
16/08/2021,2021,08,16,2212,13,Greece
15/08/2021,2021,08,15,1888,17,Greece
14/08/2021,2021,08,14,3270,24,Greece
13/08/2021,2021,08,13,3493,24,Greece
12/08/2021,2021,08,12,3603,20,Greece
11/08/2021,2021,08,11,3472,19,Greece
10/08/2021,2021,08,10,4614,19,Greece
09/08/2021,2021,08,09,2593,20,Greece
08/08/2021,2021,08,08,1850,17,Greece
07/08/2021,2021,08,07,2746,10,Greece
06/08/2021,2021,08,06,2924,21,Greece
05/08/2021,2021,08,05,2787,12,Greece
04/08/2021,2021,08,04,2855,16,Greece
03/08/2021,2021,08,03,3969,14,Greece
02/08/2021,2021,08,02,2154,8,Greece
01/08/2021,2021,08,01,1603,10,Greece
31/07/2021,2021,07,31,2752,17,Greece
30/07/2021,2021,07,30,2843,12,Greece
29/07/2021,2021,07,29,2694,9,Greece
28/07/2021,2021,07,28,2870,15,Greece
27/07/2021,2021,07,27,4170,8,Greece
26/07/2021,2021,07,26,2056,5,Greece
25/07/2021,2021,07,25,1553,8,Greece
24/07/2021,2021,07,24,2472,8,Greece
23/07/2021,2021,07,23,2852,7,Greece
22/07/2021,2021,07,22,2601,5,Greece
21/07/2021,2021,07,21,2968,3,Greece
20/07/2021,2021,07,20,4327,9,Greece
19/07/2021,2021,07,19,1834,8,Greece
18/07/2021,2021,07,18,1558,10,Greece
17/07/2021,2021,07,17,2554,7,Greece
16/07/2021,2021,07,16,2688,14,Greece
15/07/2021,2021,07,15,2794,6,Greece
14/07/2021,2021,07,14,2935,7,Greece
13/07/2021,2021,07,13,3911,4,Greece
12/07/2021,2021,07,12,2063,10,Greece
11/07/2021,2021,07,11,1464,5,Greece
10/07/2021,2021,07,10,2327,2,Greece
09/07/2021,2021,07,09,1997,12,Greece
08/07/2021,2021,07,08,2061,10,Greece
07/07/2021,2021,07,07,1816,9,Greece
06/07/2021,2021,07,06,2181,8,Greece
05/07/2021,2021,07,05,999,6,Greece
