dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,144255,155,Italy
30/12/2021,2021,12,30,127000,156,Italy
29/12/2021,2021,12,29,98016,148,Italy
28/12/2021,2021,12,28,78300,190,Italy
27/12/2021,2021,12,27,30799,142,Italy
26/12/2021,2021,12,26,24882,81,Italy
25/12/2021,2021,12,25,54787,144,Italy
24/12/2021,2021,12,24,50590,141,Italy
23/12/2021,2021,12,23,44585,168,Italy
22/12/2021,2021,12,22,36326,146,Italy
21/12/2021,2021,12,21,30783,153,Italy
20/12/2021,2021,12,20,16205,137,Italy
19/12/2021,2021,12,19,24303,97,Italy
18/12/2021,2021,12,18,28057,123,Italy
17/12/2021,2021,12,17,28615,120,Italy
16/12/2021,2021,12,16,26104,123,Italy
15/12/2021,2021,12,15,23190,129,Italy
14/12/2021,2021,12,14,20665,120,Italy
13/12/2021,2021,12,13,12704,98,Italy
12/12/2021,2021,12,12,19212,66,Italy
11/12/2021,2021,12,11,21035,96,Italy
10/12/2021,2021,12,10,20490,118,Italy
09/12/2021,2021,12,09,12516,79,Italy
08/12/2021,2021,12,08,17946,86,Italy
07/12/2021,2021,12,07,15742,99,Italy
06/12/2021,2021,12,06,9494,92,Italy
05/12/2021,2021,12,05,15010,43,Italy
04/12/2021,2021,12,04,16627,75,Italy
03/12/2021,2021,12,03,17015,74,Italy
02/12/2021,2021,12,02,16810,72,Italy
01/12/2021,2021,12,01,15073,103,Italy
30/11/2021,2021,11,30,12757,89,Italy
29/11/2021,2021,11,29,7972,65,Italy
28/11/2021,2021,11,28,12927,47,Italy
27/11/2021,2021,11,27,12869,90,Italy
26/11/2021,2021,11,26,13681,51,Italy
25/11/2021,2021,11,25,13756,71,Italy
24/11/2021,2021,11,24,12450,85,Italy
23/11/2021,2021,11,23,10044,83,Italy
22/11/2021,2021,11,22,6403,70,Italy
21/11/2021,2021,11,21,9707,46,Italy
20/11/2021,2021,11,20,11540,49,Italy
19/11/2021,2021,11,19,10554,48,Italy
18/11/2021,2021,11,18,10645,69,Italy
17/11/2021,2021,11,17,10167,72,Italy
16/11/2021,2021,11,16,7815,74,Italy
15/11/2021,2021,11,15,5199,44,Italy
14/11/2021,2021,11,14,7565,36,Italy
13/11/2021,2021,11,13,8539,53,Italy
12/11/2021,2021,11,12,8522,68,Italy
11/11/2021,2021,11,11,8697,67,Italy
10/11/2021,2021,11,10,8033,60,Italy
09/11/2021,2021,11,09,6111,68,Italy
08/11/2021,2021,11,08,4547,38,Italy
07/11/2021,2021,11,07,5822,20,Italy
06/11/2021,2021,11,06,6760,31,Italy
05/11/2021,2021,11,05,6761,51,Italy
04/11/2021,2021,11,04,5902,59,Italy
03/11/2021,2021,11,03,5188,63,Italy
02/11/2021,2021,11,02,2831,41,Italy
01/11/2021,2021,11,01,2818,20,Italy
31/10/2021,2021,10,31,4525,26,Italy
30/10/2021,2021,10,30,4877,37,Italy
29/10/2021,2021,10,29,5332,33,Italy
28/10/2021,2021,10,28,4863,50,Italy
27/10/2021,2021,10,27,4595,50,Italy
26/10/2021,2021,10,26,4053,48,Italy
25/10/2021,2021,10,25,2535,30,Italy
24/10/2021,2021,10,24,3723,24,Italy
23/10/2021,2021,10,23,3905,39,Italy
22/10/2021,2021,10,22,3879,39,Italy
21/10/2021,2021,10,21,3791,36,Italy
20/10/2021,2021,10,20,3699,33,Italy
19/10/2021,2021,10,19,2695,70,Italy
18/10/2021,2021,10,18,1594,44,Italy
17/10/2021,2021,10,17,2435,24,Italy
16/10/2021,2021,10,16,2982,14,Italy
15/10/2021,2021,10,15,2729,42,Italy
14/10/2021,2021,10,14,2666,40,Italy
13/10/2021,2021,10,13,2769,37,Italy
12/10/2021,2021,10,12,2486,49,Italy
11/10/2021,2021,10,11,1516,34,Italy
10/10/2021,2021,10,10,2278,27,Italy
09/10/2021,2021,10,09,2747,46,Italy
08/10/2021,2021,10,08,3017,30,Italy
07/10/2021,2021,10,07,2933,41,Italy
06/10/2021,2021,10,06,3232,39,Italy
05/10/2021,2021,10,05,2463,50,Italy
04/10/2021,2021,10,04,1612,37,Italy
03/10/2021,2021,10,03,2967,33,Italy
02/10/2021,2021,10,02,3309,25,Italy
01/10/2021,2021,10,01,3403,52,Italy
30/09/2021,2021,09,30,4094,51,Italy
29/09/2021,2021,09,29,3212,63,Italy
28/09/2021,2021,09,28,2962,65,Italy
27/09/2021,2021,09,27,1773,45,Italy
26/09/2021,2021,09,26,3099,44,Italy
25/09/2021,2021,09,25,3519,50,Italy
24/09/2021,2021,09,24,3790,52,Italy
23/09/2021,2021,09,23,4053,63,Italy
22/09/2021,2021,09,22,3963,67,Italy
21/09/2021,2021,09,21,3374,67,Italy
20/09/2021,2021,09,20,2405,44,Italy
19/09/2021,2021,09,19,3836,26,Italy
18/09/2021,2021,09,18,4576,51,Italy
17/09/2021,2021,09,17,4544,66,Italy
