dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,1250,0,Luxembourg
30/12/2021,2021,12,30,1281,1,Luxembourg
29/12/2021,2021,12,29,1231,2,Luxembourg
28/12/2021,2021,12,28,1053,1,Luxembourg
27/12/2021,2021,12,27,486,0,Luxembourg
26/12/2021,2021,12,26,28,2,Luxembourg
25/12/2021,2021,12,25,130,2,Luxembourg
24/12/2021,2021,12,24,576,1,Luxembourg
23/12/2021,2021,12,23,543,0,Luxembourg
22/12/2021,2021,12,22,582,1,Luxembourg
21/12/2021,2021,12,21,600,1,Luxembourg
20/12/2021,2021,12,20,229,1,Luxembourg
19/12/2021,2021,12,19,117,1,Luxembourg
18/12/2021,2021,12,18,374,3,Luxembourg
17/12/2021,2021,12,17,428,1,Luxembourg
16/12/2021,2021,12,16,351,1,Luxembourg
15/12/2021,2021,12,15,537,1,Luxembourg
14/12/2021,2021,12,14,711,0,Luxembourg
13/12/2021,2021,12,13,209,2,Luxembourg
12/12/2021,2021,12,12,73,0,Luxembourg
11/12/2021,2021,12,11,373,1,Luxembourg
10/12/2021,2021,12,10,427,3,Luxembourg
09/12/2021,2021,12,09,369,1,Luxembourg
08/12/2021,2021,12,08,486,0,Luxembourg
07/12/2021,2021,12,07,666,2,Luxembourg
06/12/2021,2021,12,06,199,3,Luxembourg
05/12/2021,2021,12,05,105,1,Luxembourg
04/12/2021,2021,12,04,359,1,Luxembourg
03/12/2021,2021,12,03,471,3,Luxembourg
02/12/2021,2021,12,02,438,1,Luxembourg
01/12/2021,2021,12,01,570,3,Luxembourg
30/11/2021,2021,11,30,585,1,Luxembourg
29/11/2021,2021,11,29,171,1,Luxembourg
28/11/2021,2021,11,28,79,2,Luxembourg
27/11/2021,2021,11,27,376,4,Luxembourg
26/11/2021,2021,11,26,447,1,Luxembourg
25/11/2021,2021,11,25,335,2,Luxembourg
24/11/2021,2021,11,24,421,2,Luxembourg
23/11/2021,2021,11,23,556,0,Luxembourg
22/11/2021,2021,11,22,159,0,Luxembourg
21/11/2021,2021,11,21,71,0,Luxembourg
20/11/2021,2021,11,20,283,0,Luxembourg
19/11/2021,2021,11,19,323,0,Luxembourg
18/11/2021,2021,11,18,300,0,Luxembourg
17/11/2021,2021,11,17,299,2,Luxembourg
16/11/2021,2021,11,16,491,1,Luxembourg
15/11/2021,2021,11,15,130,0,Luxembourg
14/11/2021,2021,11,14,50,1,Luxembourg
13/11/2021,2021,11,13,191,3,Luxembourg
12/11/2021,2021,11,12,252,0,Luxembourg
11/11/2021,2021,11,11,179,1,Luxembourg
10/11/2021,2021,11,10,243,2,Luxembourg
09/11/2021,2021,11,09,347,0,Luxembourg
08/11/2021,2021,11,08,185,1,Luxembourg
07/11/2021,2021,11,07,41,0,Luxembourg
06/11/2021,2021,11,06,186,0,Luxembourg
05/11/2021,2021,11,05,225,3,Luxembourg
04/11/2021,2021,11,04,219,0,Luxembourg
03/11/2021,2021,11,03,432,1,Luxembourg
02/11/2021,2021,11,02,97,0,Luxembourg
01/11/2021,2021,11,01,11,2,Luxembourg
31/10/2021,2021,10,31,18,1,Luxembourg
30/10/2021,2021,10,30,163,1,Luxembourg
29/10/2021,2021,10,29,219,1,Luxembourg
28/10/2021,2021,10,28,182,0,Luxembourg
27/10/2021,2021,10,27,138,0,Luxembourg
26/10/2021,2021,10,26,239,1,Luxembourg
25/10/2021,2021,10,25,161,0,Luxembourg
24/10/2021,2021,10,24,12,0,Luxembourg
23/10/2021,2021,10,23,154,0,Luxembourg
22/10/2021,2021,10,22,194,0,Luxembourg
21/10/2021,2021,10,21,141,0,Luxembourg
20/10/2021,2021,10,20,131,0,Luxembourg
19/10/2021,2021,10,19,246,2,Luxembourg
18/10/2021,2021,10,18,103,0,Luxembourg
17/10/2021,2021,10,17,17,1,Luxembourg
16/10/2021,2021,10,16,111,0,Luxembourg
15/10/2021,2021,10,15,134,0,Luxembourg
14/10/2021,2021,10,14,91,1,Luxembourg
13/10/2021,2021,10,13,166,0,Luxembourg
12/10/2021,2021,10,12,163,0,Luxembourg
11/10/2021,2021,10,11,104,0,Luxembourg
10/10/2021,2021,10,10,3,0,Luxembourg
09/10/2021,2021,10,09,71,0,Luxembourg
08/10/2021,2021,10,08,104,1,Luxembourg
07/10/2021,2021,10,07,77,0,Luxembourg
06/10/2021,2021,10,06,160,0,Luxembourg
05/10/2021,2021,10,05,161,1,Luxembourg
04/10/2021,2021,10,04,99,0,Luxembourg
03/10/2021,2021,10,03,3,1,Luxembourg
02/10/2021,2021,10,02,101,0,Luxembourg
01/10/2021,2021,10,01,91,0,Luxembourg
30/09/2021,2021,09,30,107,0,Luxembourg
29/09/2021,2021,09,29,89,0,Luxembourg
28/09/2021,2021,09,28,132,0,Luxembourg
27/09/2021,2021,09,27,68,0,Luxembourg
26/09/2021,2021,09,26,7,0,Luxembourg
25/09/2021,2021,09,25,75,0,Luxembourg
24/09/2021,2021,09,24,86,0,Luxembourg
23/09/2021,2021,09,23,74,0,Luxembourg
22/09/2021,2021,09,22,136,0,Luxembourg
21/09/2021,2021,09,21,141,0,Luxembourg
20/09/2021,2021,09,20,71,1,Luxembourg
19/09/2021,2021,09,19,2,0,Luxembourg
18/09/2021,2021,09,18,56,0,Luxembourg
17/09/2021,2021,09,17,93,0,Luxembourg
16/09/2021,2021,09,16,91,0,Luxembourg
15/09/2021,2021,09,15,102,0,Luxembourg
14/09/2021,2021,09,14,102,0,Luxembourg
13/09/2021,2021,09,13,96,0,Luxembourg
12/09/2021,2021,09,12,4,0,Luxembourg
11/09/2021,2021,09,11,62,0,Luxembourg
10/09/2021,2021,09,10,100,0,Luxembourg
09/09/2021,2021,09,09,92,1,Luxembourg
08/09/2021,2021,09,08,85,0,Luxembourg
07/09/2021,2021,09,07,97,1,Luxembourg
06/09/2021,2021,09,06,113,0,Luxembourg
05/09/2021,2021,09,05,7,0,Luxembourg
04/09/2021,2021,09,04,80,1,Luxembourg
03/09/2021,2021,09,03,56,1,Luxembourg
02/09/2021,2021,09,02,121,0,Luxembourg
01/09/2021,2021,09,01,77,0,Luxembourg
31/08/2021,2021,08,31,144,0,Luxembourg
30/08/2021,2021,08,30,88,0,Luxembourg
29/08/2021,2021,08,29,8,0,Luxembourg
28/08/2021,2021,08,28,59,0,Luxembourg
27/08/2021,2021,08,27,88,0,Luxembourg
26/08/2021,2021,08,26,75,0,Luxembourg
25/08/2021,2021,08,25,130,0,Luxembourg
24/08/2021,2021,08,24,96,0,Luxembourg
23/08/2021,2021,08,23,86,0,Luxembourg
22/08/2021,2021,08,22,8,0,Luxembourg
21/08/2021,2021,08,21,55,0,Luxembourg
20/08/2021,2021,08,20,82,0,Luxembourg
19/08/2021,2021,08,19,67,0,Luxembourg
18/08/2021,2021,08,18,63,1,Luxembourg
17/08/2021,2021,08,17,76,1,Luxembourg
16/08/2021,2021,08,16,89,0,Luxembourg
15/08/2021,2021,08,15,7,0,Luxembourg
14/08/2021,2021,08,14,39,0,Luxembourg
13/08/2021,2021,08,13,49,0,Luxembourg
12/08/2021,2021,08,12,50,1,Luxembourg
11/08/2021,2021,08,11,47,0,Luxembourg
10/08/2021,2021,08,10,61,2,Luxembourg
09/08/2021,2021,08,09,42,0,Luxembourg
08/08/2021,2021,08,08,2,1,Luxembourg
07/08/2021,2021,08,07,54,0,Luxembourg
06/08/2021,2021,08,06,77,0,Luxembourg
05/08/2021,2021,08,05,50,0,Luxembourg
04/08/2021,2021,08,04,68,0,Luxembourg
03/08/2021,2021,08,03,101,1,Luxembourg
02/08/2021,2021,08,02,52,0,Luxembourg
01/08/2021,2021,08,01,5,0,Luxembourg
31/07/2021,2021,07,31,50,0,Luxembourg
30/07/2021,2021,07,30,65,0,Luxembourg
29/07/2021,2021,07,29,54,0,Luxembourg
28/07/2021,2021,07,28,70,0,Luxembourg
27/07/2021,2021,07,27,107,0,Luxembourg
26/07/2021,2021,07,26,88,0,Luxembourg
25/07/2021,2021,07,25,4,1,Luxembourg
24/07/2021,2021,07,24,61,0,Luxembourg
23/07/2021,2021,07,23,75,0,Luxembourg
22/07/2021,2021,07,22,103,0,Luxembourg
21/07/2021,2021,07,21,94,0,Luxembourg
20/07/2021,2021,07,20,140,0,Luxembourg
19/07/2021,2021,07,19,90,0,Luxembourg
18/07/2021,2021,07,18,7,0,Luxembourg
17/07/2021,2021,07,17,84,0,Luxembourg
16/07/2021,2021,07,16,133,1,Luxembourg
15/07/2021,2021,07,15,127,1,Luxembourg
14/07/2021,2021,07,14,123,0,Luxembourg
13/07/2021,2021,07,13,118,0,Luxembourg
12/07/2021,2021,07,12,135,0,Luxembourg
11/07/2021,2021,07,11,8,0,Luxembourg
10/07/2021,2021,07,10,113,0,Luxembourg
09/07/2021,2021,07,09,127,0,Luxembourg
08/07/2021,2021,07,08,131,0,Luxembourg
07/07/2021,2021,07,07,131,0,Luxembourg
06/07/2021,2021,07,06,201,1,Luxembourg
05/07/2021,2021,07,05,118,0,Luxembourg
04/07/2021,2021,07,04,9,0,Luxembourg
03/07/2021,2021,07,03,195,0,Luxembourg
02/07/2021,2021,07,02,194,0,Luxembourg
01/07/2021,2021,07,01,136,0,Luxembourg
30/06/2021,2021,06,30,107,0,Luxembourg
29/06/2021,2021,06,29,92,0,Luxembourg
28/06/2021,2021,06,28,53,0,Luxembourg
27/06/2021,2021,06,27,5,0,Luxembourg
26/06/2021,2021,06,26,18,0,Luxembourg
25/06/2021,2021,06,25,19,0,Luxembourg
24/06/2021,2021,06,24,14,0,Luxembourg
23/06/2021,2021,06,23,4,0,Luxembourg
22/06/2021,2021,06,22,35,0,Luxembourg
21/06/2021,2021,06,21,12,0,Luxembourg
20/06/2021,2021,06,20,0,0,Luxembourg
19/06/2021,2021,06,19,8,1,Luxembourg
18/06/2021,2021,06,18,11,0,Luxembourg
17/06/2021,2021,06,17,13,0,Luxembourg
16/06/2021,2021,06,16,18,0,Luxembourg
15/06/2021,2021,06,15,19,0,Luxembourg
14/06/2021,2021,06,14,21,0,Luxembourg
13/06/2021,2021,06,13,1,0,Luxembourg
12/06/2021,2021,06,12,17,0,Luxembourg
11/06/2021,2021,06,11,21,0,Luxembourg
10/06/2021,2021,06,10,23,0,Luxembourg
