dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,16680,33,Netherlands
30/12/2021,2021,12,30,14759,40,Netherlands
29/12/2021,2021,12,29,15696,50,Netherlands
28/12/2021,2021,12,28,9134,75,Netherlands
27/12/2021,2021,12,27,11428,12,Netherlands
26/12/2021,2021,12,26,11892,11,Netherlands
25/12/2021,2021,12,25,12555,45,Netherlands
24/12/2021,2021,12,24,12468,40,Netherlands
23/12/2021,2021,12,23,13315,40,Netherlands
22/12/2021,2021,12,22,13396,48,Netherlands
21/12/2021,2021,12,21,9392,31,Netherlands
20/12/2021,2021,12,20,12141,35,Netherlands
19/12/2021,2021,12,19,13256,48,Netherlands
18/12/2021,2021,12,18,14660,50,Netherlands
17/12/2021,2021,12,17,15337,59,Netherlands
16/12/2021,2021,12,16,16347,54,Netherlands
15/12/2021,2021,12,15,13496,41,Netherlands
14/12/2021,2021,12,14,12796,74,Netherlands
13/12/2021,2021,12,13,13790,28,Netherlands
12/12/2021,2021,12,12,16604,39,Netherlands
11/12/2021,2021,12,11,17744,69,Netherlands
10/12/2021,2021,12,10,17445,84,Netherlands
09/12/2021,2021,12,09,19731,78,Netherlands
08/12/2021,2021,12,08,18055,71,Netherlands
07/12/2021,2021,12,07,17942,68,Netherlands
06/12/2021,2021,12,06,20977,34,Netherlands
05/12/2021,2021,12,05,23051,26,Netherlands
04/12/2021,2021,12,04,22600,56,Netherlands
03/12/2021,2021,12,03,21479,61,Netherlands
02/12/2021,2021,12,02,23031,65,Netherlands
01/12/2021,2021,12,01,18497,43,Netherlands
30/11/2021,2021,11,30,22058,65,Netherlands
29/11/2021,2021,11,29,21454,33,Netherlands
28/11/2021,2021,11,28,22067,43,Netherlands
27/11/2021,2021,11,27,21989,54,Netherlands
26/11/2021,2021,11,26,21264,59,Netherlands
25/11/2021,2021,11,25,22174,61,Netherlands
24/11/2021,2021,11,24,23700,50,Netherlands
23/11/2021,2021,11,23,22949,53,Netherlands
22/11/2021,2021,11,22,22986,29,Netherlands
21/11/2021,2021,11,21,20632,11,Netherlands
20/11/2021,2021,11,20,21758,55,Netherlands
19/11/2021,2021,11,19,20973,39,Netherlands
18/11/2021,2021,11,18,23563,34,Netherlands
17/11/2021,2021,11,17,20704,44,Netherlands
16/11/2021,2021,11,16,20143,35,Netherlands
15/11/2021,2021,11,15,19192,16,Netherlands
14/11/2021,2021,11,14,11976,7,Netherlands
13/11/2021,2021,11,13,13801,32,Netherlands
12/11/2021,2021,11,12,16052,31,Netherlands
11/11/2021,2021,11,11,16249,25,Netherlands
10/11/2021,2021,11,10,12645,25,Netherlands
09/11/2021,2021,11,09,11284,28,Netherlands
08/11/2021,2021,11,08,11757,22,Netherlands
07/11/2021,2021,11,07,11340,8,Netherlands
06/11/2021,2021,11,06,11970,36,Netherlands
05/11/2021,2021,11,05,10874,20,Netherlands
04/11/2021,2021,11,04,10204,24,Netherlands
03/11/2021,2021,11,03,9146,33,Netherlands
02/11/2021,2021,11,02,7692,18,Netherlands
01/11/2021,2021,11,01,7690,11,Netherlands
31/10/2021,2021,10,31,8151,14,Netherlands
30/10/2021,2021,10,30,7941,13,Netherlands
29/10/2021,2021,10,29,7387,13,Netherlands
28/10/2021,2021,10,28,7666,15,Netherlands
27/10/2021,2021,10,27,7262,17,Netherlands
26/10/2021,2021,10,26,5754,19,Netherlands
25/10/2021,2021,10,25,5298,6,Netherlands
24/10/2021,2021,10,24,6302,1,Netherlands
