dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,2830,98,Norway
30/12/2021,2021,12,30,4192,0,Norway
29/12/2021,2021,12,29,4172,0,Norway
28/12/2021,2021,12,28,4012,0,Norway
27/12/2021,2021,12,27,4796,0,Norway
26/12/2021,2021,12,26,2431,0,Norway
25/12/2021,2021,12,25,2025,0,Norway
24/12/2021,2021,12,24,1781,0,Norway
23/12/2021,2021,12,23,3353,0,Norway
22/12/2021,2021,12,22,3690,0,Norway
21/12/2021,2021,12,21,4173,0,Norway
20/12/2021,2021,12,20,5365,3,Norway
19/12/2021,2021,12,19,2605,0,Norway
18/12/2021,2021,12,18,2747,0,Norway
17/12/2021,2021,12,17,4252,2,Norway
16/12/2021,2021,12,16,4655,0,Norway
15/12/2021,2021,12,15,5020,61,Norway
14/12/2021,2021,12,14,5199,5,Norway
13/12/2021,2021,12,13,6646,0,Norway
12/12/2021,2021,12,12,3212,0,Norway
11/12/2021,2021,12,11,3166,0,Norway
10/12/2021,2021,12,10,5182,1,Norway
09/12/2021,2021,12,09,5301,1,Norway
08/12/2021,2021,12,08,5308,38,Norway
07/12/2021,2021,12,07,5516,0,Norway
06/12/2021,2021,12,06,6472,3,Norway
05/12/2021,2021,12,05,2898,0,Norway
04/12/2021,2021,12,04,2680,0,Norway
03/12/2021,2021,12,03,4291,0,Norway
02/12/2021,2021,12,02,4185,1,Norway
01/12/2021,2021,12,01,4073,38,Norway
30/11/2021,2021,11,30,3787,4,Norway
29/11/2021,2021,11,29,4687,0,Norway
28/11/2021,2021,11,28,1845,0,Norway
27/11/2021,2021,11,27,1796,0,Norway
26/11/2021,2021,11,26,2728,0,Norway
25/11/2021,2021,11,25,2822,1,Norway
24/11/2021,2021,11,24,2939,46,Norway
23/11/2021,2021,11,23,2800,1,Norway
22/11/2021,2021,11,22,3534,6,Norway
21/11/2021,2021,11,21,1351,0,Norway
20/11/2021,2021,11,20,1378,0,Norway
19/11/2021,2021,11,19,2222,0,Norway
18/11/2021,2021,11,18,2334,1,Norway
17/11/2021,2021,11,17,2434,43,Norway
16/11/2021,2021,11,16,2138,3,Norway
15/11/2021,2021,11,15,2860,0,Norway
14/11/2021,2021,11,14,1061,0,Norway
13/11/2021,2021,11,13,1088,0,Norway
12/11/2021,2021,11,12,1791,1,Norway
11/11/2021,2021,11,11,1773,1,Norway
10/11/2021,2021,11,10,1966,23,Norway
09/11/2021,2021,11,09,1753,3,Norway
08/11/2021,2021,11,08,2390,-1,Norway
07/11/2021,2021,11,07,958,0,Norway
06/11/2021,2021,11,06,885,0,Norway
05/11/2021,2021,11,05,1457,2,Norway
04/11/2021,2021,11,04,1498,1,Norway
03/11/2021,2021,11,03,1651,17,Norway
02/11/2021,2021,11,02,1415,0,Norway
01/11/2021,2021,11,01,1975,2,Norway
31/10/2021,2021,10,31,687,0,Norway
30/10/2021,2021,10,30,605,0,Norway
29/10/2021,2021,10,29,1179,0,Norway
28/10/2021,2021,10,28,1143,0,Norway
27/10/2021,2021,10,27,1114,5,Norway
26/10/2021,2021,10,26,1055,1,Norway
25/10/2021,2021,10,25,1224,0,Norway
24/10/2021,2021,10,24,502,0,Norway
23/10/2021,2021,10,23,463,0,Norway
22/10/2021,2021,10,22,752,1,Norway
21/10/2021,2021,10,21,645,0,Norway
20/10/2021,2021,10,20,716,9,Norway
19/10/2021,2021,10,19,580,0,Norway
18/10/2021,2021,10,18,746,0,Norway
17/10/2021,2021,10,17,259,0,Norway
16/10/2021,2021,10,16,290,0,Norway
15/10/2021,2021,10,15,447,0,Norway
14/10/2021,2021,10,14,375,0,Norway
13/10/2021,2021,10,13,386,13,Norway
12/10/2021,2021,10,12,459,0,Norway
11/10/2021,2021,10,11,616,0,Norway
10/10/2021,2021,10,10,243,0,Norway
09/10/2021,2021,10,09,238,0,Norway
08/10/2021,2021,10,08,446,0,Norway
07/10/2021,2021,10,07,449,1,Norway
06/10/2021,2021,10,06,492,9,Norway
05/10/2021,2021,10,05,486,0,Norway
04/10/2021,2021,10,04,657,0,Norway
03/10/2021,2021,10,03,256,0,Norway
02/10/2021,2021,10,02,300,0,Norway
01/10/2021,2021,10,01,488,0,Norway
30/09/2021,2021,09,30,498,0,Norway
29/09/2021,2021,09,29,583,10,Norway
28/09/2021,2021,09,28,609,1,Norway
27/09/2021,2021,09,27,750,0,Norway
26/09/2021,2021,09,26,386,0,Norway
25/09/2021,2021,09,25,404,0,Norway
24/09/2021,2021,09,24,650,0,Norway
23/09/2021,2021,09,23,760,0,Norway
22/09/2021,2021,09,22,725,9,Norway
21/09/2021,2021,09,21,702,0,Norway
20/09/2021,2021,09,20,988,0,Norway
19/09/2021,2021,09,19,481,0,Norway
18/09/2021,2021,09,18,510,0,Norway
17/09/2021,2021,09,17,684,0,Norway
16/09/2021,2021,09,16,810,0,Norway
15/09/2021,2021,09,15,921,12,Norway
14/09/2021,2021,09,14,1012,2,Norway
13/09/2021,2021,09,13,1313,0,Norway
12/09/2021,2021,09,12,778,0,Norway
11/09/2021,2021,09,11,665,0,Norway
10/09/2021,2021,09,10,1183,0,Norway
09/09/2021,2021,09,09,1326,1,Norway
08/09/2021,2021,09,08,1382,3,Norway
07/09/2021,2021,09,07,1438,1,Norway
06/09/2021,2021,09,06,1784,0,Norway
05/09/2021,2021,09,05,954,0,Norway
04/09/2021,2021,09,04,992,0,Norway
03/09/2021,2021,09,03,1545,0,Norway
02/09/2021,2021,09,02,1523,0,Norway
01/09/2021,2021,09,01,1613,8,Norway
31/08/2021,2021,08,31,1624,0,Norway
30/08/2021,2021,08,30,1856,0,Norway
29/08/2021,2021,08,29,956,0,Norway
28/08/2021,2021,08,28,1000,0,Norway
27/08/2021,2021,08,27,1435,0,Norway
26/08/2021,2021,08,26,1394,3,Norway
25/08/2021,2021,08,25,1416,0,Norway
24/08/2021,2021,08,24,1334,0,Norway
23/08/2021,2021,08,23,1179,0,Norway
22/08/2021,2021,08,22,554,0,Norway
21/08/2021,2021,08,21,592,0,Norway
20/08/2021,2021,08,20,741,0,Norway
19/08/2021,2021,08,19,669,0,Norway
18/08/2021,2021,08,18,689,1,Norway
17/08/2021,2021,08,17,637,1,Norway
16/08/2021,2021,08,16,625,1,Norway
15/08/2021,2021,08,15,376,0,Norway
14/08/2021,2021,08,14,434,0,Norway
13/08/2021,2021,08,13,546,1,Norway
12/08/2021,2021,08,12,539,0,Norway
11/08/2021,2021,08,11,609,2,Norway
10/08/2021,2021,08,10,576,1,Norway
09/08/2021,2021,08,09,669,0,Norway
08/08/2021,2021,08,08,331,0,Norway
07/08/2021,2021,08,07,322,0,Norway
06/08/2021,2021,08,06,478,0,Norway
05/08/2021,2021,08,05,463,0,Norway
04/08/2021,2021,08,04,502,5,Norway
03/08/2021,2021,08,03,446,0,Norway
02/08/2021,2021,08,02,455,0,Norway
01/08/2021,2021,08,01,242,0,Norway
31/07/2021,2021,07,31,250,0,Norway
30/07/2021,2021,07,30,354,0,Norway
29/07/2021,2021,07,29,346,0,Norway
28/07/2021,2021,07,28,422,0,Norway
27/07/2021,2021,07,27,349,0,Norway
26/07/2021,2021,07,26,315,0,Norway
25/07/2021,2021,07,25,199,0,Norway
24/07/2021,2021,07,24,175,0,Norway
23/07/2021,2021,07,23,251,0,Norway
22/07/2021,2021,07,22,215,0,Norway
21/07/2021,2021,07,21,260,3,Norway
20/07/2021,2021,07,20,173,0,Norway
19/07/2021,2021,07,19,229,0,Norway
18/07/2021,2021,07,18,144,0,Norway
17/07/2021,2021,07,17,111,0,Norway
16/07/2021,2021,07,16,226,0,Norway
15/07/2021,2021,07,15,187,0,Norway
14/07/2021,2021,07,14,183,0,Norway
13/07/2021,2021,07,13,146,0,Norway
12/07/2021,2021,07,12,187,0,Norway
11/07/2021,2021,07,11,101,0,Norway
10/07/2021,2021,07,10,108,0,Norway
09/07/2021,2021,07,09,175,0,Norway
08/07/2021,2021,07,08,183,0,Norway
07/07/2021,2021,07,07,204,2,Norway
06/07/2021,2021,07,06,200,0,Norway
05/07/2021,2021,07,05,207,0,Norway
04/07/2021,2021,07,04,123,0,Norway
03/07/2021,2021,07,03,99,0,Norway
02/07/2021,2021,07,02,186,0,Norway
01/07/2021,2021,07,01,197,0,Norway
30/06/2021,2021,06,30,261,2,Norway
29/06/2021,2021,06,29,213,0,Norway
28/06/2021,2021,06,28,226,0,Norway
27/06/2021,2021,06,27,106,0,Norway
26/06/2021,2021,06,26,106,0,Norway
25/06/2021,2021,06,25,175,0,Norway
24/06/2021,2021,06,24,174,0,Norway
23/06/2021,2021,06,23,239,2,Norway
22/06/2021,2021,06,22,266,0,Norway
21/06/2021,2021,06,21,205,0,Norway
20/06/2021,2021,06,20,115,0,Norway
19/06/2021,2021,06,19,153,0,Norway
18/06/2021,2021,06,18,171,0,Norway
17/06/2021,2021,06,17,197,0,Norway
16/06/2021,2021,06,16,215,1,Norway
15/06/2021,2021,06,15,195,0,Norway
