dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,30829,18,Portugal
30/12/2021,2021,12,30,28659,16,Portugal
29/12/2021,2021,12,29,26867,12,Portugal
28/12/2021,2021,12,28,17172,19,Portugal
27/12/2021,2021,12,27,6334,16,Portugal
26/12/2021,2021,12,26,3732,13,Portugal
25/12/2021,2021,12,25,10016,10,Portugal
24/12/2021,2021,12,24,12943,11,Portugal
23/12/2021,2021,12,23,10549,17,Portugal
22/12/2021,2021,12,22,8937,11,Portugal
21/12/2021,2021,12,21,5754,16,Portugal
20/12/2021,2021,12,20,2752,18,Portugal
19/12/2021,2021,12,19,4266,25,Portugal
18/12/2021,2021,12,18,5062,12,Portugal
17/12/2021,2021,12,17,4644,24,Portugal
16/12/2021,2021,12,16,5137,19,Portugal
15/12/2021,2021,12,15,5800,11,Portugal
14/12/2021,2021,12,14,3591,14,Portugal
13/12/2021,2021,12,13,2314,15,Portugal
12/12/2021,2021,12,12,3879,13,Portugal
11/12/2021,2021,12,11,5373,19,Portugal
10/12/2021,2021,12,10,3742,16,Portugal
09/12/2021,2021,12,09,3588,23,Portugal
08/12/2021,2021,12,08,5286,15,Portugal
07/12/2021,2021,12,07,3417,21,Portugal
06/12/2021,2021,12,06,2216,14,Portugal
05/12/2021,2021,12,05,3786,23,Portugal
04/12/2021,2021,12,04,5649,22,Portugal
03/12/2021,2021,12,03,2535,21,Portugal
02/12/2021,2021,12,02,2898,13,Portugal
01/12/2021,2021,12,01,4670,17,Portugal
30/11/2021,2021,11,30,2907,11,Portugal
29/11/2021,2021,11,29,1635,13,Portugal
28/11/2021,2021,11,28,2897,12,Portugal
27/11/2021,2021,11,27,3364,12,Portugal
26/11/2021,2021,11,26,3205,8,Portugal
25/11/2021,2021,11,25,3150,15,Portugal
24/11/2021,2021,11,24,3773,17,Portugal
23/11/2021,2021,11,23,2560,14,Portugal
22/11/2021,2021,11,22,1475,18,Portugal
21/11/2021,2021,11,21,2499,11,Portugal
20/11/2021,2021,11,20,2333,10,Portugal
19/11/2021,2021,11,19,2371,5,Portugal
18/11/2021,2021,11,18,2398,12,Portugal
17/11/2021,2021,11,17,2527,9,Portugal
16/11/2021,2021,11,16,1693,9,Portugal
15/11/2021,2021,11,15,974,8,Portugal
14/11/2021,2021,11,14,1483,15,Portugal
13/11/2021,2021,11,13,1816,8,Portugal
12/11/2021,2021,11,12,1751,3,Portugal
11/11/2021,2021,11,11,1477,9,Portugal
10/11/2021,2021,11,10,1654,5,Portugal
09/11/2021,2021,11,09,1182,8,Portugal
08/11/2021,2021,11,08,568,6,Portugal
07/11/2021,2021,11,07,1023,5,Portugal
06/11/2021,2021,11,06,1197,5,Portugal
05/11/2021,2021,11,05,1289,9,Portugal
04/11/2021,2021,11,04,1382,4,Portugal
03/11/2021,2021,11,03,1074,9,Portugal
02/11/2021,2021,11,02,450,9,Portugal
01/11/2021,2021,11,01,491,5,Portugal
31/10/2021,2021,10,31,763,1,Portugal
30/10/2021,2021,10,30,911,3,Portugal
29/10/2021,2021,10,29,844,4,Portugal
28/10/2021,2021,10,28,888,5,Portugal
27/10/2021,2021,10,27,965,3,Portugal
