dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,3259,30,Slovakia
30/12/2021,2021,12,30,3769,37,Slovakia
29/12/2021,2021,12,29,3839,44,Slovakia
28/12/2021,2021,12,28,5231,68,Slovakia
27/12/2021,2021,12,27,5400,41,Slovakia
26/12/2021,2021,12,26,1762,47,Slovakia
25/12/2021,2021,12,25,697,62,Slovakia
24/12/2021,2021,12,24,1326,46,Slovakia
23/12/2021,2021,12,23,5528,51,Slovakia
22/12/2021,2021,12,22,4176,41,Slovakia
21/12/2021,2021,12,21,5954,69,Slovakia
20/12/2021,2021,12,20,4924,61,Slovakia
19/12/2021,2021,12,19,2029,54,Slovakia
18/12/2021,2021,12,18,4115,83,Slovakia
17/12/2021,2021,12,17,5033,88,Slovakia
16/12/2021,2021,12,16,5591,113,Slovakia
15/12/2021,2021,12,15,6455,109,Slovakia
14/12/2021,2021,12,14,7969,105,Slovakia
13/12/2021,2021,12,13,6571,101,Slovakia
12/12/2021,2021,12,12,3435,61,Slovakia
11/12/2021,2021,12,11,5827,50,Slovakia
10/12/2021,2021,12,10,7176,68,Slovakia
09/12/2021,2021,12,09,7927,57,Slovakia
08/12/2021,2021,12,08,10026,84,Slovakia
07/12/2021,2021,12,07,11083,91,Slovakia
06/12/2021,2021,12,06,9439,104,Slovakia
05/12/2021,2021,12,05,4410,74,Slovakia
04/12/2021,2021,12,04,8604,55,Slovakia
03/12/2021,2021,12,03,11333,75,Slovakia
02/12/2021,2021,12,02,17249,90,Slovakia
01/12/2021,2021,12,01,9970,103,Slovakia
30/11/2021,2021,11,30,11894,85,Slovakia
29/11/2021,2021,11,29,10792,77,Slovakia
28/11/2021,2021,11,28,7261,67,Slovakia
27/11/2021,2021,11,27,9530,46,Slovakia
26/11/2021,2021,11,26,11821,51,Slovakia
25/11/2021,2021,11,25,12089,70,Slovakia
24/11/2021,2021,11,24,13141,51,Slovakia
23/11/2021,2021,11,23,13253,71,Slovakia
22/11/2021,2021,11,22,10950,66,Slovakia
21/11/2021,2021,11,21,7307,58,Slovakia
20/11/2021,2021,11,20,9833,43,Slovakia
19/11/2021,2021,11,19,12755,37,Slovakia
18/11/2021,2021,11,18,11383,56,Slovakia
17/11/2021,2021,11,17,9213,38,Slovakia
16/11/2021,2021,11,16,11375,43,Slovakia
15/11/2021,2021,11,15,10564,46,Slovakia
14/11/2021,2021,11,14,5753,61,Slovakia
13/11/2021,2021,11,13,7712,52,Slovakia
12/11/2021,2021,11,12,9921,39,Slovakia
11/11/2021,2021,11,11,9457,41,Slovakia
10/11/2021,2021,11,10,9132,38,Slovakia
09/11/2021,2021,11,09,9441,53,Slovakia
08/11/2021,2021,11,08,8292,45,Slovakia
07/11/2021,2021,11,07,4907,40,Slovakia
06/11/2021,2021,11,06,6775,24,Slovakia
05/11/2021,2021,11,05,8656,39,Slovakia
04/11/2021,2021,11,04,8749,20,Slovakia
03/11/2021,2021,11,03,8895,34,Slovakia
02/11/2021,2021,11,02,8307,36,Slovakia
01/11/2021,2021,11,01,3277,31,Slovakia
31/10/2021,2021,10,31,3139,11,Slovakia
30/10/2021,2021,10,30,5080,16,Slovakia
29/10/2021,2021,10,29,6685,18,Slovakia
28/10/2021,2021,10,28,6132,23,Slovakia
27/10/2021,2021,10,27,6294,20,Slovakia
26/10/2021,2021,10,26,6083,22,Slovakia
25/10/2021,2021,10,25,4536,18,Slovakia
24/10/2021,2021,10,24,1871,14,Slovakia
23/10/2021,2021,10,23,3921,8,Slovakia
22/10/2021,2021,10,22,4418,9,Slovakia
21/10/2021,2021,10,21,4421,3,Slovakia
20/10/2021,2021,10,20,4001,11,Slovakia
19/10/2021,2021,10,19,4302,8,Slovakia
18/10/2021,2021,10,18,3001,10,Slovakia
17/10/2021,2021,10,17,1194,8,Slovakia
16/10/2021,2021,10,16,2172,13,Slovakia
15/10/2021,2021,10,15,2524,17,Slovakia
14/10/2021,2021,10,14,2430,25,Slovakia
13/10/2021,2021,10,13,2387,19,Slovakia
12/10/2021,2021,10,12,2964,20,Slovakia
11/10/2021,2021,10,11,2224,17,Slovakia
10/10/2021,2021,10,10,762,4,Slovakia
09/10/2021,2021,10,09,1413,2,Slovakia
