dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,1668,6,Slovenia
30/12/2021,2021,12,30,1898,7,Slovenia
29/12/2021,2021,12,29,1691,10,Slovenia
28/12/2021,2021,12,28,1871,13,Slovenia
27/12/2021,2021,12,27,1819,9,Slovenia
26/12/2021,2021,12,26,701,9,Slovenia
25/12/2021,2021,12,25,666,6,Slovenia
24/12/2021,2021,12,24,1091,1,Slovenia
23/12/2021,2021,12,23,1207,10,Slovenia
22/12/2021,2021,12,22,1124,6,Slovenia
21/12/2021,2021,12,21,1255,6,Slovenia
20/12/2021,2021,12,20,1558,10,Slovenia
19/12/2021,2021,12,19,586,13,Slovenia
18/12/2021,2021,12,18,769,19,Slovenia
17/12/2021,2021,12,17,1288,12,Slovenia
16/12/2021,2021,12,16,1281,8,Slovenia
15/12/2021,2021,12,15,1347,8,Slovenia
14/12/2021,2021,12,14,1530,11,Slovenia
13/12/2021,2021,12,13,1716,16,Slovenia
12/12/2021,2021,12,12,677,14,Slovenia
11/12/2021,2021,12,11,786,11,Slovenia
10/12/2021,2021,12,10,1480,19,Slovenia
09/12/2021,2021,12,09,1324,11,Slovenia
08/12/2021,2021,12,08,1688,18,Slovenia
07/12/2021,2021,12,07,1852,17,Slovenia
06/12/2021,2021,12,06,1955,16,Slovenia
05/12/2021,2021,12,05,775,13,Slovenia
04/12/2021,2021,12,04,1116,18,Slovenia
03/12/2021,2021,12,03,1908,17,Slovenia
02/12/2021,2021,12,02,1739,15,Slovenia
01/12/2021,2021,12,01,2128,16,Slovenia
30/11/2021,2021,11,30,2258,16,Slovenia
29/11/2021,2021,11,29,2484,20,Slovenia
28/11/2021,2021,11,28,1039,23,Slovenia
27/11/2021,2021,11,27,1481,23,Slovenia
26/11/2021,2021,11,26,2227,17,Slovenia
25/11/2021,2021,11,25,2367,11,Slovenia
24/11/2021,2021,11,24,2670,11,Slovenia
23/11/2021,2021,11,23,3143,23,Slovenia
22/11/2021,2021,11,22,3400,17,Slovenia
21/11/2021,2021,11,21,1390,19,Slovenia
20/11/2021,2021,11,20,2248,22,Slovenia
19/11/2021,2021,11,19,3239,21,Slovenia
18/11/2021,2021,11,18,3518,24,Slovenia
17/11/2021,2021,11,17,3667,19,Slovenia
16/11/2021,2021,11,16,4283,5,Slovenia
15/11/2021,2021,11,15,3771,12,Slovenia
14/11/2021,2021,11,14,1820,21,Slovenia
13/11/2021,2021,11,13,2369,20,Slovenia
12/11/2021,2021,11,12,3667,14,Slovenia
11/11/2021,2021,11,11,3435,10,Slovenia
