dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,94663,91,Spain
30/12/2021,2021,12,30,118136,97,Spain
29/12/2021,2021,12,29,130321,100,Spain
28/12/2021,2021,12,28,136406,89,Spain
27/12/2021,2021,12,27,129878,96,Spain
26/12/2021,2021,12,26,85910,79,Spain
25/12/2021,2021,12,25,74237,81,Spain
24/12/2021,2021,12,24,68639,73,Spain
23/12/2021,2021,12,23,79899,79,Spain
22/12/2021,2021,12,22,81582,74,Spain
21/12/2021,2021,12,21,82704,74,Spain
20/12/2021,2021,12,20,68645,87,Spain
19/12/2021,2021,12,19,41968,71,Spain
18/12/2021,2021,12,18,36731,64,Spain
17/12/2021,2021,12,17,36111,74,Spain
16/12/2021,2021,12,16,33725,85,Spain
15/12/2021,2021,12,15,38270,48,Spain
14/12/2021,2021,12,14,34345,62,Spain
13/12/2021,2021,12,13,31601,62,Spain
12/12/2021,2021,12,12,21421,42,Spain
11/12/2021,2021,12,11,20813,46,Spain
10/12/2021,2021,12,10,19517,48,Spain
09/12/2021,2021,12,09,18871,52,Spain
08/12/2021,2021,12,08,18828,45,Spain
07/12/2021,2021,12,07,20051,47,Spain
06/12/2021,2021,12,06,10458,51,Spain
05/12/2021,2021,12,05,12916,42,Spain
04/12/2021,2021,12,04,9552,36,Spain
03/12/2021,2021,12,03,11905,40,Spain
02/12/2021,2021,12,02,12618,36,Spain
01/12/2021,2021,12,01,14513,33,Spain
30/11/2021,2021,11,30,14397,44,Spain
29/11/2021,2021,11,29,13213,40,Spain
28/11/2021,2021,11,28,10156,20,Spain
27/11/2021,2021,11,27,9755,28,Spain
26/11/2021,2021,11,26,6777,31,Spain
25/11/2021,2021,11,25,7548,27,Spain
24/11/2021,2021,11,24,10353,19,Spain
23/11/2021,2021,11,23,9550,25,Spain
22/11/2021,2021,11,22,8805,30,Spain
21/11/2021,2021,11,21,7359,27,Spain
20/11/2021,2021,11,20,7217,22,Spain
19/11/2021,2021,11,19,4635,12,Spain
18/11/2021,2021,11,18,5299,25,Spain
17/11/2021,2021,11,17,6928,21,Spain
16/11/2021,2021,11,16,6555,25,Spain
15/11/2021,2021,11,15,6397,23,Spain
14/11/2021,2021,11,14,5171,21,Spain
13/11/2021,2021,11,13,4890,19,Spain
12/11/2021,2021,11,12,2819,28,Spain
11/11/2021,2021,11,11,3145,19,Spain
10/11/2021,2021,11,10,4556,23,Spain
09/11/2021,2021,11,09,4461,26,Spain
08/11/2021,2021,11,08,3862,31,Spain
07/11/2021,2021,11,07,2937,20,Spain
06/11/2021,2021,11,06,3088,15,Spain
05/11/2021,2021,11,05,1748,11,Spain
04/11/2021,2021,11,04,1940,10,Spain
03/11/2021,2021,11,03,3007,19,Spain
02/11/2021,2021,11,02,3101,10,Spain
01/11/2021,2021,11,01,2525,16,Spain
31/10/2021,2021,10,31,2317,12,Spain
30/10/2021,2021,10,30,1183,19,Spain
29/10/2021,2021,10,29,1472,7,Spain
28/10/2021,2021,10,28,1464,18,Spain
27/10/2021,2021,10,27,2202,15,Spain
26/10/2021,2021,10,26,2100,18,Spain
25/10/2021,2021,10,25,2283,16,Spain
24/10/2021,2021,10,24,1779,14,Spain
23/10/2021,2021,10,23,1849,16,Spain
22/10/2021,2021,10,22,1241,14,Spain
21/10/2021,2021,10,21,1275,21,Spain
20/10/2021,2021,10,20,1933,24,Spain
19/10/2021,2021,10,19,1933,18,Spain
18/10/2021,2021,10,18,2171,17,Spain
17/10/2021,2021,10,17,1681,15,Spain
16/10/2021,2021,10,16,1618,15,Spain
15/10/2021,2021,10,15,1046,19,Spain
14/10/2021,2021,10,14,1224,17,Spain
13/10/2021,2021,10,13,1605,23,Spain
12/10/2021,2021,10,12,842,17,Spain
11/10/2021,2021,10,11,2294,22,Spain
10/10/2021,2021,10,10,1278,16,Spain
09/10/2021,2021,10,09,1206,17,Spain
08/10/2021,2021,10,08,1725,18,Spain
07/10/2021,2021,10,07,1500,27,Spain
06/10/2021,2021,10,06,1607,26,Spain
05/10/2021,2021,10,05,1630,12,Spain
04/10/2021,2021,10,04,1856,28,Spain
03/10/2021,2021,10,03,1141,20,Spain
02/10/2021,2021,10,02,1213,32,Spain
01/10/2021,2021,10,01,1748,29,Spain
