dateRep,year,month,day,cases,deaths,countriesAndTerritories
31/12/2021,2021,12,31,10599,8,Sweden
30/12/2021,2021,12,30,11463,10,Sweden
29/12/2021,2021,12,29,10926,7,Sweden
28/12/2021,2021,12,28,9231,11,Sweden
27/12/2021,2021,12,27,6125,11,Sweden
26/12/2021,2021,12,26,1791,4,Sweden
25/12/2021,2021,12,25,2364,8,Sweden
24/12/2021,2021,12,24,5815,8,Sweden
23/12/2021,2021,12,23,5127,7,Sweden
22/12/2021,2021,12,22,5107,4,Sweden
21/12/2021,2021,12,21,4668,6,Sweden
20/12/2021,2021,12,20,3036,7,Sweden
19/12/2021,2021,12,19,2019,6,Sweden
18/12/2021,2021,12,18,3389,12,Sweden
17/12/2021,2021,12,17,4180,7,Sweden
16/12/2021,2021,12,16,4116,10,Sweden
15/12/2021,2021,12,15,4008,5,Sweden
14/12/2021,2021,12,14,4064,3,Sweden
13/12/2021,2021,12,13,2712,6,Sweden
12/12/2021,2021,12,12,1475,3,Sweden
11/12/2021,2021,12,11,2395,8,Sweden
10/12/2021,2021,12,10,2865,3,Sweden
09/12/2021,2021,12,09,3072,6,Sweden
08/12/2021,2021,12,08,3255,5,Sweden
07/12/2021,2021,12,07,3333,8,Sweden
06/12/2021,2021,12,06,2254,5,Sweden
05/12/2021,2021,12,05,927,6,Sweden
04/12/2021,2021,12,04,2084,4,Sweden
03/12/2021,2021,12,03,2154,2,Sweden
02/12/2021,2021,12,02,2208,4,Sweden
01/12/2021,2021,12,01,2424,2,Sweden
30/11/2021,2021,11,30,2657,5,Sweden
29/11/2021,2021,11,29,1347,6,Sweden
28/11/2021,2021,11,28,880,2,Sweden
27/11/2021,2021,11,27,1759,2,Sweden
26/11/2021,2021,11,26,2025,2,Sweden
25/11/2021,2021,11,25,2114,0,Sweden
24/11/2021,2021,11,24,2107,2,Sweden
23/11/2021,2021,11,23,2077,4,Sweden
22/11/2021,2021,11,22,952,3,Sweden
21/11/2021,2021,11,21,482,3,Sweden
20/11/2021,2021,11,20,1092,2,Sweden
19/11/2021,2021,11,19,1314,6,Sweden
18/11/2021,2021,11,18,1130,4,Sweden
17/11/2021,2021,11,17,1206,4,Sweden
16/11/2021,2021,11,16,1296,5,Sweden
15/11/2021,2021,11,15,574,6,Sweden
14/11/2021,2021,11,14,311,3,Sweden
13/11/2021,2021,11,13,829,2,Sweden
12/11/2021,2021,11,12,911,6,Sweden
11/11/2021,2021,11,11,925,8,Sweden
10/11/2021,2021,11,10,1020,2,Sweden
09/11/2021,2021,11,09,1321,8,Sweden
08/11/2021,2021,11,08,502,2,Sweden
07/11/2021,2021,11,07,278,3,Sweden
06/11/2021,2021,11,06,597,7,Sweden
05/11/2021,2021,11,05,731,4,Sweden
04/11/2021,2021,11,04,826,2,Sweden
03/11/2021,2021,11,03,837,10,Sweden
02/11/2021,2021,11,02,1162,5,Sweden
01/11/2021,2021,11,01,629,2,Sweden
31/10/2021,2021,10,31,301,4,Sweden
30/10/2021,2021,10,30,861,2,Sweden
29/10/2021,2021,10,29,977,4,Sweden
28/10/2021,2021,10,28,1079,6,Sweden
27/10/2021,2021,10,27,891,4,Sweden
26/10/2021,2021,10,26,1262,4,Sweden
25/10/2021,2021,10,25,539,6,Sweden
24/10/2021,2021,10,24,319,1,Sweden
23/10/2021,2021,10,23,525,3,Sweden
22/10/2021,2021,10,22,891,3,Sweden
21/10/2021,2021,10,21,777,4,Sweden
20/10/2021,2021,10,20,786,3,Sweden
19/10/2021,2021,10,19,818,3,Sweden
18/10/2021,2021,10,18,1078,6,Sweden
17/10/2021,2021,10,17,0,5,Sweden
16/10/2021,2021,10,16,14,6,Sweden
15/10/2021,2021,10,15,565,1,Sweden
14/10/2021,2021,10,14,668,4,Sweden
13/10/2021,2021,10,13,796,7,Sweden
12/10/2021,2021,10,12,905,4,Sweden
11/10/2021,2021,10,11,1121,5,Sweden
10/10/2021,2021,10,10,9,5,Sweden
09/10/2021,2021,10,09,16,6,Sweden
08/10/2021,2021,10,08,599,8,Sweden
07/10/2021,2021,10,07,741,8,Sweden
06/10/2021,2021,10,06,842,11,Sweden
05/10/2021,2021,10,05,738,6,Sweden
04/10/2021,2021,10,04,1192,5,Sweden
03/10/2021,2021,10,03,0,9,Sweden
02/10/2021,2021,10,02,2,6,Sweden
01/10/2021,2021,10,01,698,5,Sweden
30/09/2021,2021,09,30,766,5,Sweden
29/09/2021,2021,09,29,852,7,Sweden
28/09/2021,2021,09,28,845,4,Sweden
27/09/2021,2021,09,27,1068,3,Sweden
26/09/2021,2021,09,26,6,6,Sweden
25/09/2021,2021,09,25,1,4,Sweden
24/09/2021,2021,09,24,715,6,Sweden
23/09/2021,2021,09,23,771,6,Sweden
22/09/2021,2021,09,22,743,10,Sweden
21/09/2021,2021,09,21,891,7,Sweden
