country,population,weekly_count,year,week,year_week,rate_14_day,cumulative_count
Turkey,83154997,1218,2020,12,2020-12,1.48638090865423,1236
Turkey,83154997,8035,2020,13,2020-13,11.127413064545,9271
Turkey,83154997,17798,2020,14,2020-14,31.0660825350039,27069
Turkey,83154997,29887,2020,15,2020-15,57.3447197647064,56956
Turkey,83154997,29350,2020,16,2020-16,71.2368494222903,86306
Turkey,83154997,23824,2020,17,2020-17,63.94564598445,110130
Turkey,83154997,15915,2020,18,2020-18,47.7890703309147,126045
Turkey,83154997,12612,2020,19,2020-19,34.3058156805658,138657
Turkey,83154997,10778,2020,20,2020-20,28.1281953506655,149435
Turkey,83154997,7392,2020,21,2020-21,21.8507614160578,156827
Turkey,83154997,7115,2020,22,2020-22,17.4457344998762,163942
Turkey,83154997,6190,2020,23,2020-23,16.0002410919454,170132
Turkey,83154997,8107,2020,24,2020-24,17.193194054231,178239
Turkey,83154997,9446,2020,25,2020-25,21.1087735352814,187685
Turkey,83154997,9554,2020,26,2020-26,22.8488974631314,197239
Turkey,83154997,8519,2020,27,2020-27,21.7341117816407,205758
Turkey,83154997,7235,2020,28,2020-28,18.945343717588,212993
Turkey,83154997,6648,2020,29,2020-29,16.6953286042449,219641
Turkey,83154997,6459,2020,30,2020-30,15.7621315289086,226100
Turkey,83154997,47136,2020,31,2020-31,64.451929449291,273236
Turkey,83154997,55058,2020,32,2020-32,122.895801439329,328294
Turkey,83154997,55615,2020,33,2020-33,133.092422575639,383909
Turkey,83154997,56050,2020,34,2020-34,134.285375537925,439959
Turkey,83154997,57407,2020,35,2020-35,136.440387340763,497366
Turkey,83154997,58370,2020,36,2020-36,139.230357978367,555736
Turkey,83154997,58466,2020,37,2020-37,140.503883368548,614202
Turkey,83154997,58815,2020,38,2020-38,141.039028598606,673017
Turkey,83154997,58676,2020,39,2020-39,141.291569044251,731693
Turkey,83154997,57120,2020,40,2020-40,139.25320687583,788813
Turkey,83154997,58200,2020,41,2020-41,138.680781865701,847013
Turkey,83154997,59070,2020,42,2020-42,141.025800289548,906083
Turkey,83154997,61418,2020,43,2020-43,144.895681975673,967501
Turkey,83154997,62782,2020,44,2020-44,149.359634995838,1030283
Turkey,83154997,63892,2020,45,2020-45,152.334801960248,1094175
Turkey,83154997,67133,2020,46,2020-46,157.567199479305,1161308
Turkey,83154997,79659,2020,47,2020-47,176.528176653052,1240967
Turkey,83154997,159462,2020,48,2020-48,287.560590014813,1400429
Turkey,83154997,220667,2020,49,2020-49,457.133081250667,1621096
Turkey,83154997,215632,2020,50,2020-50,524.681637592988,1836728
Turkey,83154997,187873,2020,51,2020-51,485.244440571623,2024601
Turkey,83154997,122977,2020,52,2020-52,373.819988232337,2147578
Turkey,83154997,94334,2020,53,2020-53,261.332460874239,2241912
Turkey,83154997,84344,2021,01,2021-01,214.873436890389,2326256
